"cue","target","cosine","fake_cue","fake_target"
"svet","stvarnik",0.437207833767826,"svet","stvarnim"
"svet","človeštvo",0.43705622104982,"sved","človešlvo"
"svet","vesolje",0.412217103881981,"sveh","vesosje"
"bog","jezus",0.586809635880749,"boj","zezus"
"bog","kristus",0.548290861291541,"bng","krhstus"
"bog","stvarnik",0.530025618192084,"nog","itvarnik"
"bog","nebeški",0.448868652584328,"iog","nebcški"
"bog","božji",0.439317432834697,"boj","bsžji"
"mrtev","živ",0.626827810404106,"vrtev","kiv"
"mrtev","mrtv",0.594791034715708,"mrthv","mntv"
"mrtev","umorjen",0.470775557567866,"hrtev","umoijen"
"mrtev","nezavesten",0.467667905806117,"mrtev","nezažesten"
"mrtev","pogrešan",0.455813078224966,"mrteb","pogrešar"
"moški","ženska",0.595898887975837,"muški","žensoa"
"moški","možak",0.515333313767354,"moški","mozak"
"moški","tip",0.49165180946385,"moškl","tnp"
"moški","človek",0.480061130154928,"moškt","čzovek"
"moški","moška",0.471244203645494,"mzški","čoška"
"vedeti","zvedeti",0.727495435955682,"veyeti","zbedeti"
"vedeti","izvedeti",0.719000781039827,"veieti","izvedeni"
"vedeti","povedeti",0.685041856501514,"vrdeti","poveoeti"
"vedeti","razvedeti",0.659911733170214,"vedeci","razvedeai"
"vedeti","vedati",0.550700628289398,"vedemi","vedata"
"dekle","dekletce",0.674198815119877,"fekle","dčkletce"
"dekle","bitje",0.544300034411836,"deklk","biije"
"dekle","punca",0.542387442034794,"dekpe","punaa"
"dekle","fant",0.4512823230607,"dekže","fakt"
"dekle","deklica",0.419580811015252,"deklž","dekdica"
"svoj","lasten",0.450154460762549,"svvj","lvsten"
"svoj","mamin",0.377043108809003,"svob","mamih"
"svoj","kurčev",0.375817800297254,"svos","čurčev"
"svoj","dodaten",0.338716717769747,"nvoj","lodaten"
"svoj","nov",0.337496146134676,"saoj","cov"
"oči","oko",0.457999281986641,"oli","ojo"
"oči","usta",0.434106247755557,"oei","uspa"
"oči","ušes",0.428482853592054,"pči","upes"
"oči","ogledalo",0.402407911804437,"zči","ogledalo"
"oči","prsi",0.370051351021172,"očg","prss"
"očitno","verjetno",0.661484312906657,"očitnu","šerjetno"
"očitno","ocitno",0.614593658472863,"omitno","ocitnm"
"očitno","gotovo",0.590170720524925,"očitfo","gotoko"
"očitno","torej",0.50773335549522,"hčitno","toeej"
"očitno","škoda",0.453939158096304,"tčitno","ekoda"
"žal","oprostiti",0.503280012714662,"žšl","oprostwti"
"žal","opravičiti",0.470038751461419,"čal","oprnvičiti"
"žal","neprijetno",0.425742116522803,"žae","neprijebno"
"žal","hvaležen",0.419598075080594,"žam","hvaležjn"
"žal","oprost",0.418936309449364,"oal","ozrost"
"drugače","drugace",0.585267403475109,"drueače","drugece"
"drugače","drugačen",0.458774344100739,"drggače","drugačpn"
"drugače","drugačno",0.401329913767018,"drugyče","drugačns"
"drugače","enako",0.344965944370854,"drugačg","enakk"
"drugače","ponoreti",0.334279715670298,"crugače","ponareti"
"mož","možak",0.501121371308688,"mow","aožak"
"mož","žena",0.484089608220297,"lož","žend"
"mož","soprog",0.47494198991373,"msž","sžprog"
"mož","možakar",0.460657775190744,"mež","možakar"
"mož","moški",0.457439765857919,"nož","mošdi"
"noter","ven",0.672147321422764,"noger","wen"
"noter","semkaj",0.419707193617573,"nwter","semnaj"
"noter","spodaj",0.395192317261257,"nošer","spohaj"
"noter","klet",0.388760881798294,"notyr","koet"
"noter","noti",0.378588481997737,"noler","noai"
"imeti","lmeti",0.562696037751276,"nmeti","lmetp"
"imeti","obdržati",0.497492911172482,"umeti","obdrlati"
"imeti","zgubiti",0.477305992659082,"immti","zgubitj"
"imeti","izgubiti",0.47544754251255,"imeta","izgusiti"
"imeti","dobiti",0.463644338166293,"smeti","dobiti"
"najbolj","najslabša",0.471715328833843,"najsolj","nauslabša"
"najbolj","najlepša",0.453020203138609,"ndjbolj","nujlepša"
"najbolj","nadvse",0.450083967394407,"najbzlj","nadvee"
"najbolj","najboljšim",0.416946855429972,"najboej","najbolbšim"
"najbolj","izjemno",0.408083053967086,"najbolg","izjjmno"
"takrat","tedaj",0.68338283125247,"takrht","yedaj"
"takrat","naslednjič",0.394338850880953,"tjkrat","naslednjir"
"takrat","prvič",0.385727196092383,"takrat","vrvič"
"takrat","zadnjič",0.385661164922782,"takraz","zadnlič"
"takrat","nazadnje",0.377153433415194,"tavrat","nazpdnje"
"vseeno","mar",0.517462177415431,"vsoeno","maj"
"vseeno","zato",0.42028001214168,"vsečno","tato"
"vseeno","pomembno",0.357298692447861,"vsweno","pomemlno"
"vseeno","zameriti",0.351353329437928,"fseeno","zameriri"
"vseeno","nejasno",0.347428638457379,"vseeno","nejasnz"
"pomoč","pomoc",0.704431085097921,"pomač","čomoc"
"pomoč","okrepitev",0.523572257251579,"pbmoč","okrehitev"
"pomoč","podpora",0.432386931803292,"pjmoč","podkora"
"pomoč","zavetje",0.421487713723961,"podoč","zyvetje"
"pomoč","pomagati",0.408654512652331,"pomož","nomagati"
"raje","najraje",0.461659547389147,"rade","najmaje"
"raje","rad",0.448953930252902,"rajo","rčd"
"raje","rada",0.427419439486105,"rajc","tada"
"raje","naslednjič",0.347136121884574,"rade","naslednjie"
"raje","boljo",0.331397647475753,"rajp","boljo"
"čisto","popolnoma",0.709417180381769,"čisko","popofnoma"
"čisto","povsem",0.691545095087208,"listo","pohsem"
"čisto","totalno",0.507878893306275,"čistp","totalnt"
"čisto","čist",0.440411841272708,"čisao","čisa"
"čisto","dokaj",0.393318437021242,"pisto","iokaj"
"prijatelj","prijateljček",0.646715340423355,"prijatvlj","prijateljrek"
"prijatelj","kolega",0.646026036708068,"prijafelj","kohega"
"prijatelj","brat",0.543822674236839,"prizatelj","brap"
"prijatelj","sodelavec",0.540443578306631,"prijanelj","sokelavec"
"prijatelj","partner",0.510837879667428,"prijutelj","paetner"
"pot","poti",0.480510152525438,"rot","pzti"
"pot","cesta",0.455778146596692,"pov","cehta"
"pot","potovanje",0.448896511401917,"plt","potovalje"
"pot","izhod",0.443406554928703,"pht","ičhod"
"pot","steza",0.425593948856577,"pos","pteza"
"ženska","moški",0.595898887975837,"ženswa","mošni"
"ženska","punca",0.594068414901037,"eenska","punča"
"ženska","oseba",0.580921669900851,"žejska","oyeba"
"ženska","američanka",0.502574235444177,"žebska","američanma"
"ženska","mladenka",0.493324769296662,"žsnska","mkadenka"
"kmalu","sčasoma",0.522963749184161,"lmalu","sfasoma"
"kmalu","prekmalu",0.432379120767468,"kmdlu","preklalu"
"kmalu","hitro",0.424725504150199,"cmalu","hitrs"
"kmalu","čimprej",0.382704161822586,"mmalu","čimproj"
"kmalu","slej",0.368481787378722,"kmmlu","sljj"
"smrt","usmrtitev",0.482417556716745,"tmrt","usmrtijev"
"smrt","uničenje",0.437483990560977,"smkt","uzičenje"
"smrt","smrten",0.40754806160256,"mmrt","smrtek"
"smrt","poguba",0.392675109600993,"skrt","poguba"
"smrt","smrtno",0.390479356887751,"smut","sbrtno"
"slabo","odlično",0.517373671831451,"alabo","odliino"
"slabo","slabeti",0.486758753492033,"slado","ylabeti"
"slabo","predobro",0.460167310007403,"slazo","pzedobro"
"slabo","bedno",0.440899712404519,"sbabo","bjdno"
"slabo","šibko",0.423712308437236,"dlabo","šieko"
"najprej","sprva",0.47368482463654,"najprep","spdva"
"najprej","torej",0.452866972573946,"najprel","torel"
"najprej","mimogrede",0.399192543396,"najpuej","mimoguede"
"najprej","zatorej",0.365282655269079,"nmjprej","matorej"
"najprej","čakaj",0.365119838150012,"najpnej","čakap"
"priti","prideti",0.664660893240654,"prfti","priieti"
"priti","iti",0.619818662131598,"prati","ita"
"priti","stopiti",0.581945236118594,"hriti","snopiti"
"priti","vstopiti",0.559562323967952,"prvti","vstopity"
"priti","pripeljati",0.555673489510305,"pritm","pripeljari"
"gotovo","verjetno",0.753563437937387,"gotoxo","verjetfo"
"gotovo","očitno",0.590170720524925,"kotovo","očieno"
"gotovo","zagotovo",0.464799565748188,"ootovo","zagoyovo"
"gotovo","sigurno",0.443436146468714,"gotoyo","siaurno"
"gotovo","ocitno",0.435707468938142,"gotpvo","ocitgo"
"pomembno","važno",0.779778253702397,"pomemblo","važeo"
"pomembno","nepomembno",0.634279660835952,"pocembno","nepomvmbno"
"pomembno","pomemben",0.577700947873771,"pofembno","iomemben"
"pomembno","važen",0.476334258351727,"počembno","važzn"
"pomembno","bistveno",0.475561266916967,"pomemino","bisfveno"
