"word_combo","da_cue","da_target","type","cue_type","target_type","da_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"orgasmebevidstvelse","orgasme","bevidstvelse","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orgasmeerektion","orgasme","erektion","related","word","word",0.472186035948161,-0.0301377291179623,0.584421447963645,0.0788033719675317,55,59,60,0,0.983333333333333,57,60,0,0.95,TRUE,TRUE,TRUE
"orgasmehammer","orgasme","hammer","unrelated","word","word",0.13462168715821,-0.434986200153315,0.664248669223423,0.0930134182355668,51,53,54,0,0.981481481481482,53,54,0,0.981481481481482,FALSE,TRUE,TRUE
"originaldenavnsion","original","denavnsion","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"originalkopi","original","kopi","related","word","word",0.434958681492725,-0.471991994914312,0.723767683299755,0.100368518986963,52,55,57,0,0.964912280701754,54,57,0,0.947368421052632,FALSE,TRUE,TRUE
"originalløfte","original","løfte","unrelated","word","word",0.0972072122039478,-0.366336371422014,0.686097832547966,0.100077654511333,47,50,52,0,0.961538461538462,52,52,0,1,FALSE,TRUE,FALSE
"orilejunglerken","orile","junglerken","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orilemonitor","orile","monitor","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orkanforstyrre","orkan","forstyrre","unrelated","word","word",0.0203457881116374,-0.136811387228302,0.731169044423898,0.107804994189766,46,50,50,0,1,47,50,0,0.94,FALSE,TRUE,FALSE
"orkanhøjskode","orkan","højskode","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orkantornado","orkan","tornado","related","word","word",0.470332032887106,-0.378914061204084,0.515246144826929,0.067655133321948,58,61,61,0,1,57,61,0,0.934426229508197,TRUE,TRUE,TRUE
"orkemængafstre","orkemæng","afstre","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orkemængskramme","orkemæng","skramme","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ørkendal","ørken","dal","related","word","word",0.330445517722473,-0.247551852994788,0.580298413827922,0.0967164023046536,36,37,52,0,0.711538461538462,50,52,0,0.961538461538462,FALSE,TRUE,FALSE
"ørkenfinansiering","ørken","finansiering","unrelated","word","word",0.139891290054566,0.0174820913815682,0.951405518689475,0.118925689836184,64,65,69,0,0.942028985507246,63,69,0,0.91304347826087,FALSE,TRUE,TRUE
"ørkenkrident","ørken","krident","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orkesterband","orkester","band","related","word","word",0.574697746263082,-0.387448189490589,0.844382089252415,0.118237142289012,51,54,55,0,0.981818181818182,47,55,0,0.854545454545454,FALSE,TRUE,TRUE
"orkesterkardiment","orkester","kardiment","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orkesterlastbil","orkester","lastbil","unrelated","word","word",0.0933718947056234,-0.376424003491296,0.714328791149979,0.0808818085047393,78,84,89,0,0.943820224719101,63,88,1,0.715909090909091,TRUE,TRUE,TRUE
"orletmøde","orlet","møde","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orletvav","orlet","vav","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ørmålspok","ørmål","spok","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ørmålvæsen","ørmål","væsen","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ormbryllup","orm","bryllup","unrelated","word","word",0.112836900912877,-0.30515535452022,1.09636183550195,0.150596880016368,53,58,59,0,0.983050847457627,50,56,3,0.892857142857143,FALSE,TRUE,TRUE
"ormnegaskab","orm","negaskab","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ormslange","orm","slange","related","word","word",0.455294364078838,-0.668594694591198,0.386605529314309,0.0531043535322949,53,59,59,1,1,58,59,1,0.983050847457627,TRUE,TRUE,TRUE
"ørolsfuld","ørols","fuld","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ørolskalnær","ørols","kalnær","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orscharmerende","ors","charmerende","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orsindstisk","ors","indstisk","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orsvømmeacceptere","orsvømme","acceptere","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orsvømmebehagevendt","orsvømme","behagevendt","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"øveinforskrækre","øve","inforskrækre","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"øveljular","øvel","jular","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"øvelsignal","øvel","signal","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"øvemotionere","øve","motionere","related","word","word",0.368357897012005,0.00958444006075528,0.84019702692624,0.0976709204597526,74,79,86,0,0.918604651162791,77,86,0,0.895348837209302,FALSE,TRUE,TRUE
"øveønske","øve","ønske","unrelated","word","word",0.134943700487414,-0.729757466402981,0.389751190479712,0.0568510540856175,47,51,52,0,0.980769230769231,49,52,0,0.942307692307692,TRUE,TRUE,FALSE
"overkommebryst","overkomme","bryst","unrelated","word","word",0.117780575471565,-0.494801278179185,0.920986047894432,0.13024709596887,50,52,52,1,1,52,53,0,0.981132075471698,FALSE,TRUE,TRUE
"overkommelykkes","overkomme","lykkes","related","word","word",0.282147750648556,-0.494135189939316,0.542720855536711,0.0809040483857953,45,47,50,2,0.94,48,50,2,0.96,TRUE,TRUE,FALSE
"overkommemotorsek","overkomme","motorsek","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"overnaturligbeholde","overnaturlig","beholde","unrelated","word","word",0.106175187485919,-0.292981089788848,0.978780341368329,0.103172506924035,90,103,105,0,0.980952380952381,101,105,0,0.961904761904762,FALSE,TRUE,TRUE
"overnaturligforedteratur","overnaturlig","foredteratur","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"overnaturligparanormal","overnaturlig","paranormal","related","word","word",0.523987679566522,0.41920794667075,0.890779911570398,0.129933604227711,47,50,53,0,0.943396226415094,51,53,0,0.962264150943396,FALSE,TRUE,FALSE
"overraskelsear","overraskelse","ar","unrelated","word","word",0.123791620805523,-0.194063801471149,0.488953517067952,0.0691484695207523,50,51,60,0,0.85,59,60,0,0.983333333333333,TRUE,TRUE,TRUE
"overraskelseformantske","overraskelse","formantske","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"overraskelseskuffelse","overraskelse","skuffelse","related","word","word",0.486723200552921,-0.518166240470866,0.434272192804543,0.0602227176409601,52,56,56,0,1,56,56,0,1,TRUE,TRUE,TRUE
"overvejediskjortere","overveje","diskjortere","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"overvejeredningsmand","overveje","redningsmand","unrelated","word","word",0.102347950962449,0.248994510639539,0.780639057618571,0.0813872478447017,92,103,113,1,0.911504424778761,107,113,1,0.946902654867257,TRUE,TRUE,TRUE
"overvejetænke","overveje","tænke","related","word","word",0.44816522386126,-0.523486747619724,0.566350300004592,0.0817456245408192,48,50,50,0,1,48,50,0,0.96,TRUE,TRUE,FALSE
"oververisandsynligvis","oververi","sandsynligvis","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oververiskors","oververi","skors","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
