"word_combo","en_cue","en_target","type","cue_type","target_type","en_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"illebookorous","illebook","orous","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illegallegal","illegal","legal","related","word","word",0.587613277186458,-0.524753553762689,0.580737114434463,0.035946724952291,261,303,305,3,0.99344262295082,299,307,1,0.973941368078176,TRUE,TRUE,TRUE
"illegaltemperalysts","illegal","temperalysts","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illegalyoung","illegal","young","unrelated","word","word",0.122840636761096,-0.408516247081849,0.906387021984466,0.0579069427165961,245,287,298,3,0.963087248322148,277,298,3,0.929530201342282,TRUE,TRUE,TRUE
"illsick","ill","sick","related","word","word",0.609541885505883,-0.593191689805809,0.791081529914892,0.076121855707884,108,119,119,1,1,111,118,2,0.940677966101695,TRUE,TRUE,TRUE
"illusionadditional","illusion","additional","unrelated","word","word",0.132856958598826,-0.371531737089675,0.622169100107464,0.0386597068146952,259,295,305,4,0.967213114754098,284,303,6,0.937293729372937,TRUE,TRUE,TRUE
"illusionhallucination","illusion","hallucination","related","word","word",0.454161245108104,0.123559071074997,0.966238303147579,0.0590223983056595,268,295,316,6,0.933544303797468,289,316,6,0.914556962025316,TRUE,TRUE,TRUE
"illusionvun","illusion","vun","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illutorsgate","illutors","gate","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illutorsvetster","illutors","vetster","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imaginationcreativity","imagination","creativity","related","word","word",0.56681379259354,-0.389129978497456,0.735818677932643,0.0461693700997922,254,298,304,3,0.980263157894737,292,304,3,0.960526315789474,TRUE,TRUE,TRUE
"imaginationfleet","imagination","fleet","unrelated","word","word",0.125325148445771,-0.00276140340533833,0.87619109849968,0.0581548457490625,227,259,297,4,0.872053872053872,283,298,3,0.949664429530201,TRUE,TRUE,TRUE
"imaginationkeyton","imagination","keyton","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imbisibleconquately","imbisible","conquately","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imbisiblefriendship","imbisible","friendship","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"immeconcert","imme","concert","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"immemefilthical","imme","mefilthical","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imonycause","imony","cause","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imonystite","imony","stite","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imperialemperor","imperial","emperor","related","word","word",0.610028455410689,-0.0965550486672536,0.748907765249534,0.0487497431914596,236,279,311,4,0.897106109324759,256,308,7,0.831168831168831,TRUE,TRUE,TRUE
"imperialgrandtacular","imperial","grandtacular","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
