"word_combo","he_cue","he_target","type","cue_type","target_type","he_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"אבאאמא","אבא","אמא","related","word","word",0.739856839647642,-0.897858229685098,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אבאלשמור","אבא","לשמור","unrelated","word","word",0.139808213424101,-1.19066731833598,NA,NA,1,1,1,0,1,0,1,0,0,FALSE,FALSE,FALSE
"אבאסימף","אבא","סימף","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבולוציהבת דודה","אבולוציה","בת דודה","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבולוציהיושפה","אבולוציה","יושפה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבולוציהמוטציה","אבולוציה","מוטציה","related","word","word",0.459111830121441,-0.215171748609402,0.479686161745127,0.19583105549162,6,6,8,0,0.75,6,8,0,0.75,FALSE,FALSE,FALSE
"אביבאוקטלנר","אביב","אוקטלנר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אביבמזלג","אביב","מזלג","unrelated","word","word",0.058828195483223,0.297523118212128,0.533541060414278,0.377270501860398,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אביבסתיו","אביב","סתיו","related","word","word",0.555771999953345,NA,NA,NA,NA,1,1,0,1,1,1,0,1,FALSE,FALSE,NA
"אבינהלתת","אבינה","לתת","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבינהפבר","אבינה","פבר","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבסוםכחה","אבסום","כחה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבסוםכסף","אבסום","כסף","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבקת שריפהבודס","אבקת שריפה","בודס","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבקת שריפהדינמיט","אבקת שריפה","דינמיט","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבקת שריפהנמלט","אבקת שריפה","נמלט","unrelated","word","word",NA,0.172796381182441,1.27079644817518,0.898588786012451,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אבקתגלריפהסיבניה","אבקתגלריפה","סיבניה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבקתגלריפהתרגיל","אבקתגלריפה","תרגיל","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אגוניםבעל חיים","אגונים","בעל חיים","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אגוניםמאזי","אגונים","מאזי","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדוםלחף","אדום","לחף","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדוםמנהל","אדום","מנהל","unrelated","word","word",0.0633742279925916,-1.16800283335889,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אדוםצהוב","אדום","צהוב","related","word","word",0.683223098312315,-1.07881727428839,0.314647020935963,0.128454108396654,6,7,7,0,1,6,7,0,0.857142857142857,FALSE,FALSE,FALSE
"אדוןגברת","אדון","גברת","related","word","word",0.460795526662381,-0.931366811662435,0.343187387355433,0.242670128816721,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"אדוןפרטיות","אדון","פרטיות","unrelated","word","word",0.0521517356507312,-0.247087248335164,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אדוןפררל","אדון","פררל","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדוץמדען","אדוץ","מדען","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדוץרינר","אדוץ","רינר","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדטאלוף מדעה","אדט","אלוף מדעה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדטשקרן","אדט","שקרן","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדםגליציה","אדם","גליציה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדםלקבל","אדם","לקבל","unrelated","word","word",0.137465194224487,-0.201949530499178,0.71888723117674,0.293484483164204,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"אדםפרט","אדם","פרט","related","word","word",0.193408309287633,-0.608392056850594,0.245527886822863,0.173614433742849,2,3,4,0,0.75,3,4,0,0.75,FALSE,FALSE,FALSE
"אדףאירוני","אדף","אירוני","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדףלהתנקל","אדף","להתנקל","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדרןכומראטומי","אדרן","כומראטומי","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדרןעליון","אדרן","עליון","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אובגמכשיר","אובג","מכשיר","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אובגרכט","אובג","רכט","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אווזברווז","אווז","ברווז","related","word","word",0.608645216796454,-1.0940175984,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אווזחום","אווז","חום","unrelated","word","word",0.146082623998873,-0.26917524589889,1.19075407066221,0.841990278090737,2,2,2,1,1,1,2,1,0.5,FALSE,FALSE,FALSE
"אווזימיגובה","אווזימי","גובה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אווזימיכק","אווזימי","כק","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אווזשירו","אווז","שירו","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אווירחמצן","אוויר","חמצן","related","word","word",0.463881636025746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אווירמשפחה","אוויר","משפחה","unrelated","word","word",0.0874758338126395,-0.640998372925476,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אווירנאיכולוגיה","אוויר","נאיכולוגיה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוטלאססטיק","אוטל","אססטיק","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוטלעסק","אוטל","עסק","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אויביריב","אויב","יריב","related","word","word",0.467461965302185,-0.757652709857804,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אויבכבד","אויב","כבד","unrelated","word","word",0.0843649790290528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אויבקיבר","אויב","קיבר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אויטהורה","אויט","הורה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אויטמצסיר","אויט","מצסיר","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אויךישנל","אויך","ישנל","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אויךשמפנייה","אויך","שמפנייה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוך זמהקמח","אוך זמה","קמח","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוך זמהתקפון","אוך זמה","תקפון","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוכלגריהלומטן","אוכלגריה","לומטן","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוכלגריהמשפט","אוכלגריה","משפט","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוכלוסיהאנשים","אוכלוסיה","אנשים","related","word","word",0.307622105379035,NA,NA,NA,NA,0,1,0,0,0,1,0,0,FALSE,FALSE,NA
"אוכלוסיהלתאי","אוכלוסיה","לתאי","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוכלוסיהשוד","אוכלוסיה","שוד","unrelated","word","word",0.136566980631661,0.856754292403525,NA,NA,1,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אולחומר נפץ","אול","חומר נפץ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוליחסר אונים","אולי","חסר אונים","unrelated","word","word",NA,-0.262060189406678,0.597361104947805,0.422398088125682,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אוליכנראה","אולי","כנראה","related","word","word",0.616674242960907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוליפרטר","אולי","פרטר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אולרילה","אול","רילה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומיללהודות","אומיל","להודות","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומיללחלובטן","אומיל","לחלובטן","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומללדיון","אומלל","דיון","unrelated","word","word",0.0843128873479327,NA,NA,NA,NA,1,1,0,1,1,1,0,1,FALSE,FALSE,NA
"אומללהעחם","אומלל","העחם","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומללמעורר רחמים","אומלל","מעורר רחמים","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומלרכע","אומלר","כע","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומלרתקשורת","אומלר","תקשורת","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומנותאיטנלייצטי","אומנות","איטנלייצטי","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומנותלשים","אומנות","לשים","unrelated","word","word",0.0922563714681091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומנותספרות","אומנות","ספרות","related","word","word",0.468823910699894,-0.761550517317723,0.328855722391432,0.116268055667491,8,8,8,0,1,7,8,0,0.875,FALSE,FALSE,FALSE
"אומץאכזיד","אומץ","אכזיד","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומץבדיקה","אומץ","בדיקה","unrelated","word","word",0.11113700876936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אומץנחישות","אומץ","נחישות","related","word","word",0.516782490487757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופטימילחי","אופטימי","לחי","unrelated","word","word",0.0840749307134719,-0.958990538464836,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אופטימימציאותי","אופטימי","מציאותי","related","word","word",0.423843574555244,-0.480721791735367,0.601974905129617,0.425660537521281,2,2,2,0,1,1,2,0,0.5,FALSE,FALSE,FALSE
"אופטימירציר","אופטימי","רציר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופטרותעשיר","אופטרות","עשיר","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופטרותפייב","אופטרות","פייב","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופיאישיות","אופי","אישיות","related","word","word",0.405834285768242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופייוגל","אופי","יוגל","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופיכופר","אופי","כופר","unrelated","word","word",0.137292697040767,-0.321281005641908,NA,NA,1,2,2,2,1,2,2,2,1,FALSE,FALSE,FALSE
"אופנסטישעסה","אופנסט","ישעסה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופנסטמשפחה","אופנסט","משפחה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופנתיאלגנטי","אופנתי","אלגנטי","related","word","word",0.539048635663982,NA,NA,NA,NA,1,1,0,1,1,1,0,1,FALSE,FALSE,NA
"אופנתיהקלטה","אופנתי","הקלטה","unrelated","word","word",0.063210017230657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אופנתיתויו","אופנתי","תויו","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אוצרחיל הים","אוצר","חיל הים","unrelated","word","word",NA,-0.182622286852221,0.114102833230179,0.0658773014807428,3,3,3,0,1,2,3,0,0.666666666666667,FALSE,FALSE,FALSE
"אוצרעושר","אוצר","עושר","related","word","word",0.424617225176053,NA,NA,NA,NA,2,2,0,1,2,2,0,1,FALSE,FALSE,NA
"אוצרערדו","אוצר","ערדו","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אורגזמהזקפה","אורגזמה","זקפה","related","word","word",0.471880681984102,5.34038399462864,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אורגזמהנמופו שח דקר","אורגזמה","נמופו שח דקר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אורגזמהקר","אורגזמה","קר","unrelated","word","word",0.111500127359614,0.237858342216647,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אורדותטלפון","אורדות","טלפון","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אורדותקלרדי","אורדות","קלרדי","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אושןבצורה מעשית","אושן","בצורה מעשית","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אושןראיקה","אושן","ראיקה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזהרההודעה","אזהרה","הודעה","related","word","word",0.494623675818154,-1.26915575875671,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אזהרהסיש","אזהרה","סיש","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזהרהקהל מאזינים","אזהרה","קהל מאזינים","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזוראבען","אזור","אבען","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזורימטכתף","אזורי","מטכתף","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזורימקומי","אזורי","מקומי","related","word","word",0.302484130928823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזוריעוגה","אזורי","עוגה","unrelated","word","word",0.0225873575145125,-1.11712956596098,NA,NA,1,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אזורמחלה","אזור","מחלה","unrelated","word","word",0.117950222419227,-0.534675544315593,0.452182356018686,0.184602673822551,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"אזורשטח","אזור","שטח","related","word","word",0.543402514806487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזיףחדיחה","אזיף","חדיחה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזיףמתכת","אזיף","מתכת","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזמאהמיוע","אזמאה","מיוע","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזמאהתיק","אזמאה","תיק","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזמשיניתוח","אזמשי","ניתוח","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזמשיצדחודי","אזמשי","צדחודי","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אזרחיאחיין","אזרחי","אחיין","unrelated","word","word",0.113215977370143,NA,NA,NA,NA,0,1,0,0,1,1,0,1,FALSE,FALSE,NA
"אזרחיצבאי","אזרחי","צבאי","related","word","word",0.452926348634756,-1.02021905680003,0.255650877143455,0.180772468844426,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אזרחירופית","אזרחי","רופית","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחדמועיין","אחד","מועיין","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחדעינוי","אחד","עינוי","unrelated","word","word",0.112606147268542,0.21064758370363,0.918937052341345,0.277069946233766,11,12,12,1,1,12,12,1,1,FALSE,FALSE,FALSE
"אחדשלושה","אחד","שלושה","related","word","word",0.339336060078537,-0.0647039642579847,0.417257030370272,0.170344469332692,6,6,7,0,0.857142857142857,6,7,0,0.857142857142857,FALSE,FALSE,FALSE
"אחורהחזרה","אחורה","חזרה","related","word","word",0.34446320022744,-0.306161665023769,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אחורהמושיע","אחורה","מושיע","unrelated","word","word",0.0389317876017403,0.234616701812087,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אחורהמיסקופון","אחורה","מיסקופון","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחותאח","אחות","אח","related","word","word",0.533547022926754,-0.853911372075273,0.541068124291798,0.382592939770616,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אחותאליפות","אחות","אליפות","unrelated","word","word",0.13836930368404,-0.588504601600264,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אחותלא צלאי","אחות","לא צלאי","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחימהיורהי","אחימה","יורהי","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחימהלהתרכז","אחימה","להתרכז","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחיףחג","אחיף","חג","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחיףמפשם","אחיף","מפשם","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחכנותאקיר","אחכנות","אקיר","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחכנותזקן","אחכנות","זקן","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחריותחובה","אחריות","חובה","related","word","word",0.374935865699201,-0.719859190519629,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אחריותנפעץ","אחריות","נפעץ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אחריותפרופסור","אחריות","פרופסור","unrelated","word","word",0.0918748418037369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אטומיגרעיני","אטומי","גרעיני","related","word","word",0.480315206158255,-0.563216276857179,NA,NA,1,1,1,2,1,1,1,2,1,FALSE,FALSE,FALSE
"אטומיעמק","אטומי","עמק","unrelated","word","word",0.103518909042832,-0.499988378075642,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אטומישימטי","אטומי","שימטי","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אי סדראחי","אי סדר","אחי","unrelated","word","word",NA,-0.132080026639368,0.623301379704141,0.207767126568047,9,10,10,1,1,9,10,1,0.9,FALSE,FALSE,FALSE
"אי סדרבלבול","אי סדר","בלבול","related","word","word",NA,-0.264718572069851,0.68712491042407,0.485870683683059,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"אי סדרמתיו","אי סדר","מתיו","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אי סקןבירה","אי סקן","בירה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אי סקןמהטזיה","אי סקן","מהטזיה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אי צדקכחה","אי צדק","כחה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אי צדקלא הוגן","אי צדק","לא הוגן","related","word","word",NA,-1.27134117655019,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אי צדקריח","אי צדק","ריח","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אי ציטטבוד","אי ציט","טבוד","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אי ציטיושר","אי ציט","יושר","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אידאלילתכסף","אידאלי","לתכסף","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אידאלימושלם","אידאלי","מושלם","related","word","word",0.395123529036042,-0.832553387023539,NA,NA,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE
"אידאלישיר","אידאלי","שיר","unrelated","word","word",0.0867054600887472,NA,NA,NA,NA,2,2,0,1,1,2,0,0.5,FALSE,FALSE,NA
"אידאןורשות","אידאן","ורשות","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אידאןלא נעים","אידאן","לא נעים","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"איזוןהרמוניה","איזון","הרמוניה","related","word","word",0.446765735216431,-0.850410056263999,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"איזוןמצסיר","איזון","מצסיר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"איזוןסוחר","איזון","סוחר","unrelated","word","word",0.118801873399841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"איטיאירוימי","איטי","אירוימי","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"איטימהיר","איטי","מהיר","related","word","word",0.640862876642168,-0.677674585519038,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"איטיממשלה","איטי","ממשלה","unrelated","word","word",0.0491467942590932,-0.780270540257995,0.298182275136956,0.210846708778975,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"איטכניהפריפות","איטכניה","פריפות","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"איטכניהשמן","איטכניה","שמן","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אייחסיןדשריש","אייחסין","דשריש","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אייחסיןתחנה","אייחסין","תחנה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אימוןמשאלה","אימון","משאלה","unrelated","word","word",0.0354836730235958,-0.730363349027918,0.323731245187808,0.228912558754264,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
