"word_combo","he_cue","he_target","type","cue_type","target_type","he_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"רעיוןטיפני","רעיון","טיפני","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רעיוןרשמי","רעיון","רשמי","unrelated","word","word",0.0878324546489149,-0.760592823011435,0.381012395810885,0.155547659235334,6,6,7,0,0.857142857142857,7,7,0,1,FALSE,FALSE,FALSE
"רעיוןתאוריה","רעיון","תאוריה","related","word","word",0.383386467217118,-0.512013609212035,0.148983573859843,0.105347295361702,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"רענובקיט","רענו","בקיט","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רענומטר","רענו","מטר","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רערנירדכוכן","רערניר","דכוכן","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רערנירפושע","רערניר","פושע","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רעשונליח","רעש","ונליח","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רעשקול","רעש","קול","related","word","word",0.419302585249814,-0.159155461800542,0.958637154704951,0.677858832789248,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"רעששף","רעש","שף","unrelated","word","word",0.104188069919667,-0.502678168616356,NA,NA,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE
"רפואיכובע","רפואי","כובע","unrelated","word","word",0.0490185459295779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רפואימכימר","רפואי","מכימר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רפואיפסיכולוגי","רפואי","פסיכולוגי","related","word","word",0.497329140294762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רפנויסתיו","רפנוי","סתיו","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רפנוישיס","רפנוי","שיס","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רפפשייראש","רפפשי","יראש","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רפפשיצדק","רפפשי","צדק","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רציףטלויואה","רציף","טלויואה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"רציףלא אחראי","רציף","לא אחראי","unrelated","word","word",NA,-0.780539220671849,NA,NA,1,1,2,0,0.5,1,2,0,0.5,FALSE,FALSE,FALSE
"רציףתחנה","רציף","תחנה","related","word","word",0.305325728818741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
