"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"联盟战士","联盟","战士","unrelated","word","word",0.835012303695094,-0.461246253605954,0.36209540375985,0.071012751136682,26,32,32,0,1,27,32,0,0.84375,FALSE,FALSE,FALSE
"联盟树柱","联盟","树柱","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"联邦容估","联邦","容估","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"联邦政府","联邦","政府","related","word","word",0.920176267951096,-0.83566898887363,0.189914787266833,0.0474786968167083,16,18,18,0,1,16,18,0,0.888888888888889,FALSE,FALSE,FALSE
"联邦海洋","联邦","海洋","unrelated","word","word",0.834656127583924,-0.556792623149868,0.622347555282008,0.0880132353189555,50,53,53,0,1,49,52,1,0.942307692307692,TRUE,TRUE,TRUE
"聘请完毕","聘请","完毕","unrelated","word","word",NA,-0.0394205084346713,0.795785438288763,0.23993833749385,11,13,14,0,0.928571428571429,9,14,0,0.642857142857143,FALSE,FALSE,FALSE
"聘请租赁","聘请","租赁","related","word","word",NA,-0.154269080902888,0.627839116662993,0.162107362862223,15,19,20,1,0.95,19,21,0,0.904761904761905,FALSE,FALSE,FALSE
"聘请酱探","聘请","酱探","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"聚焦世拿","聚焦","世拿","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"聚焦遏制","聚焦","遏制","unrelated","word","word",NA,1.04574244643513,1.7457241142375,0.581908038079166,9,11,13,1,0.846153846153846,11,13,1,0.846153846153846,FALSE,FALSE,FALSE
"聚焦集中","聚焦","集中","related","word","word",0.79211530726557,-0.301159277274681,0.543810145875735,0.135952536468934,16,17,18,2,0.944444444444444,17,18,2,0.944444444444444,FALSE,FALSE,FALSE
