"word_combo","pl_cue","pl_target","type","cue_type","target_type","pl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"pertyzpaposłałić","pertyzpa","posłałić","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piąłscraon","piął","scraon","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piąłwystawa","piął","wystawa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"picamautsio","pica","mautsio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"picazwolnienie","pica","zwolnienie","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piękamałżeństwo","pięka","małżeństwo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piekarnikgwiazda","piekarnik","gwiazda","unrelated","word","word",0.0846625294513394,-0.620638915305315,0.559720794615642,0.0799601135165203,49,51,51,0,1,50,50,1,1,TRUE,TRUE,FALSE
"piekarnikkuchenka","piekarnik","kuchenka","related","word","word",0.55666511746754,-0.219708509982549,1.39024534960989,0.22552757633415,38,39,40,1,0.975,40,41,0,0.975609756097561,FALSE,FALSE,FALSE
"piekarniktaijut","piekarnik","taijut","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piekarsteninspiracja","piekarsten","inspiracja","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piekarstenpomno","piekarsten","pomno","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piękazbrodki","pięka","zbrodki","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pierdowalulacja","pierdowa","lulacja","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pierdowatani","pierdowa","tani","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pierścieńnaszyjnik","pierścień","naszyjnik","related","word","word",0.534274324924244,-0.360336229577564,0.711932384221744,0.107327845207576,44,47,48,1,0.979166666666667,47,48,1,0.979166666666667,FALSE,FALSE,FALSE
