"url_lab","timestamp","uuid","url_special_code","keep","n_trials","correct.y","n_answered","start","end","study_length"
"365",2022-12-22 12:11:26,"7da4e3a2-4098-4fb4-b8ae-467823989a1a",NA,"keep",1600,0.979375,1599,2022-12-22 12:13:45,2023-01-04 16:40:29,18986.7352333307
"365",2022-12-22 12:11:26,"7da4e3a2-4098-4fb4-b8ae-467823989a1a",NA,"keep",1600,0.979375,1599,2022-12-22 12:13:45,2023-01-04 16:40:29,18986.7352333307
"365",2022-12-22 12:11:26,"7da4e3a2-4098-4fb4-b8ae-467823989a1a",NA,"keep",1600,0.979375,1599,2022-12-22 12:13:45,2023-01-04 16:40:29,18986.7352333307
"365",2022-12-21 19:39:27,"07f74e6e-42b9-43cc-a751-91ca6b590dae",NA,"keep",800,0.9625,794,2022-12-21 19:41:40,2022-12-21 20:02:37,20.9420500000318
"365",2022-12-22 19:33:32,"99f30528-ab3a-4beb-90c5-15d8b96482ac",NA,"exclude",800,0.77375,789,2022-12-22 19:36:54,2022-12-22 20:04:20,27.4298499981562
"365",2022-12-21 08:40:13,"f438f3c7-979c-4879-affb-1e51637590af",NA,"keep",800,0.97125,800,2022-12-21 08:42:01,2022-12-21 09:00:13,18.2036333322525
"365",2022-12-21 19:26:41,"02d9ceca-d55a-4b4e-8eee-d0bb1425e396",NA,"keep",800,0.95875,799,2022-12-21 19:28:14,2022-12-21 19:44:45,16.5221166650454
"365",2022-12-21 21:32:33,"e80b0102-faee-477b-8ba7-25bac8fd116b",NA,"exclude",125,0.776,100,2022-12-21 21:37:05,2022-12-21 21:42:10,5.08941666682561
"365",2022-12-21 19:29:47,"0199de34-3c13-4313-8a98-fdb403b9a6c8",NA,"keep",800,0.8925,797,2022-12-21 19:32:12,2022-12-21 19:54:57,22.751116669178
"365",2022-12-20 09:53:19,"5ef7e736-3591-4b4d-9059-16be9301d9d5",NA,"keep",800,0.94875,796,2022-12-20 09:55:35,2022-12-20 10:15:26,19.8551166653633
"365",2022-12-21 11:54:39,"91246a5f-32ae-4cc8-881b-7aad4802b921",NA,"keep",800,0.905,800,2022-12-21 11:55:18,2022-12-21 12:12:35,17.2788499991099
"365",2022-12-20 15:22:50,"92326810-d115-4c16-bd76-7f78c7d48bd3",NA,"keep",800,0.88,794,2022-12-20 15:24:06,2022-12-20 15:42:10,18.0786000013351
"101",2022-12-22 19:07:45,"1cc9b8d5-7a1a-49b4-b540-246c9f26a95d",NA,"keep",800,0.9425,799,2022-12-22 19:09:34,2022-12-22 19:25:47,16.2184499979019
"365",2022-12-21 19:34:27,"403b8b1f-bd45-4601-b215-eb38f58b68b1",NA,"keep",800,0.97,799,2022-12-21 19:37:05,2022-12-21 19:55:21,18.273050002257
"101",2022-12-21 19:38:22,"06dec60f-4311-4f0d-b040-01a5d6897b2e",NA,"keep",800,0.8225,800,2022-12-21 19:39:26,2022-12-21 19:53:10,13.7393333315849
"365",2022-12-22 17:26:09,"b7eb2b15-f2c3-4f7d-9992-dc3441b24727",NA,"keep",800,0.9375,800,2022-12-22 17:27:37,2022-12-22 17:48:20,20.7121333320936
"365",2022-12-20 14:40:46,"8a2e9176-7338-48a2-93c6-303a5fdae7dc",NA,"keep",800,0.94375,774,2022-12-20 14:42:55,2022-12-20 15:05:00,22.0954499999682
"365",2022-12-22 07:21:13,"7d5e5526-3f3d-4603-a47f-d22d8506135e",NA,"keep",800,0.965,797,2022-12-22 07:23:04,2022-12-22 07:45:20,22.2622000018756
"101",2022-12-24 19:27:08,"111a8af3-66e0-4e1f-a506-54c86abe8f24",NA,"keep",800,0.99375,800,2022-12-24 19:28:58,2022-12-24 19:47:32,18.5672666668892
"101",2022-12-22 19:49:38,"8626a04a-6bff-4154-8102-cb418fde9bf0",NA,"keep",800,0.9825,800,2022-12-22 19:50:34,2022-12-22 20:06:20,15.7769000013669
"365",2022-12-20 20:36:02,"ffb57ce8-af95-4094-ab25-4bc8a67f1307",NA,"keep",800,0.97375,799,2022-12-20 20:37:45,2022-12-20 20:58:45,20.9968000014623
"101",2022-12-21 20:14:31,"68821d6f-ca43-4cbd-8ab6-fcf772ae2e83",NA,"keep",800,0.95625,800,2022-12-21 20:15:49,2022-12-21 20:31:09,15.3242833296458
"365",2022-12-25 14:21:31,"5998f76a-b7d9-4de6-933d-ad9b7cb72847",NA,"keep",800,0.97625,799,2022-12-25 14:23:08,2022-12-25 14:45:54,22.7647499998411
"365",2022-12-26 16:29:53,"c454094b-05ad-4aa4-97b5-052f5f07cfef",NA,"keep",800,0.96,800,2022-12-26 16:31:34,2022-12-26 16:49:24,17.835433336099
"101",2022-12-28 13:53:41,"89f3f2e4-5f07-49b7-b9f8-366eb5458acf",NA,"keep",800,0.94625,799,2022-12-28 13:55:09,2022-12-28 14:12:37,17.4671333312988
"101",2022-12-30 20:03:51,"1f7541b1-9573-405e-a492-29ec4f29d0f9",NA,"keep",800,0.975,800,2022-12-30 20:05:13,2022-12-30 20:22:01,16.8019000013669
"101",2022-12-28 12:09:58,"f3935ad8-4f56-4193-8fd7-43a130203c36",NA,"exclude",800,0.4625,400,2022-12-28 12:12:09,2022-12-28 12:48:25,36.2563000003497
"365",2022-12-26 11:32:36,"eb0586a3-3fe2-46e5-8cfe-6f337a1ae8f0",NA,"keep",800,0.9525,799,2022-12-26 11:35:09,2022-12-26 11:56:00,20.8376666665077
"101",2022-12-28 23:41:07,"abbdb160-f5a5-4f78-88ff-25995f5d0ba2",NA,"keep",800,0.8675,788,2022-12-28 23:42:24,2022-12-29 00:02:44,20.3292166670163
"365",2022-12-30 21:52:30,"93ae31c8-7449-4818-9fb9-bdf2f40d6f11",NA,"keep",800,0.975,798,2022-12-30 21:55:09,2022-12-30 22:19:09,23.9885666688283
"365\",2022-12-30 12:36:47,"ec8dc205-6b3e-4c45-ba05-2d1a108492e8",NA,"exclude",800,0.15125,128,2022-12-30 12:38:44,2022-12-30 13:27:51,49.1084833343824
"101",2022-12-28 15:54:47,"f2963ac6-9d8e-438b-9c81-ab87587f16df",NA,"keep",800,0.975,799,2022-12-28 15:56:32,2022-12-28 16:12:59,16.448016667366
"101",2022-12-25 15:59:56,"41e24a8f-21c9-4107-a6f0-599d2c39eadc",NA,"keep",800,0.94375,796,2022-12-25 16:01:09,2022-12-25 16:19:44,18.5781666676203
"101",2022-12-25 16:50:50,"83059484-1f1b-4fbc-85cf-f83ec59fb66a",NA,"keep",800,0.97375,798,2022-12-25 16:52:32,2022-12-25 17:09:16,16.732366669178
"101",2022-12-30 18:34:20,"8675f785-a38f-4177-9262-74e996352966",NA,"keep",800,0.94,800,2022-12-30 18:35:54,2022-12-30 18:55:01,19.1211000005404
"365",2022-12-26 11:50:52,"391b42e6-8163-415a-a7cb-f751621810ca",NA,"keep",800,0.95375,800,2022-12-26 11:51:27,2022-12-26 12:07:16,15.8162166674932
"365",2022-12-30 21:56:58,"90572a4d-d24a-42e5-89cb-9802f7f32d38",NA,"keep",312,0.884615384615385,299,2022-12-30 21:58:23,2022-12-30 22:07:57,9.57034999926885
"365",2022-12-27 09:35:09,"4eaf1e38-f96c-4887-a9e3-3daf59a23e54",NA,"keep",800,0.9675,799,2022-12-27 09:38:07,2022-12-27 09:59:18,21.1857833305995
"365",2022-12-27 20:25:43,"d323e3b9-c017-42c5-958a-5905f00ea7d7",NA,"keep",800,0.96875,798,2022-12-27 20:27:46,2022-12-27 20:46:51,19.0842000007629
"101",2022-12-31 12:17:56,"48b2a497-5ca8-40df-8871-f25263c3a71e",NA,"keep",800,0.88625,744,2022-12-31 12:18:45,2022-12-31 12:43:26,24.6816166639328
"101",2022-12-29 17:42:08,"f4b92a22-91d2-4583-a6a7-080294039f49",NA,"keep",800,0.99125,800,2022-12-29 17:43:22,2022-12-29 18:03:01,19.6410166660945
"365",2022-12-26 11:32:44,"bc70f7f4-6af6-4507-9fcd-bf37cff17629",NA,"keep",400,0.9575,399,2022-12-26 11:35:10,2022-12-26 11:46:17,11.1192499995232
"101",2022-12-26 14:31:43,"ad77f283-3477-45d1-a5c8-463820715f5a",NA,"keep",800,0.95,782,2022-12-26 14:34:09,2022-12-26 14:56:52,22.7122666676839
"101",2022-12-29 09:30:06,"9d069c59-d7fa-444b-8204-be9247436ec4",NA,"keep",800,0.9875,800,2022-12-29 09:31:36,2022-12-29 09:50:59,19.3798999985059
"1594",2023-01-07 19:01:45,"1f2553ae-ca46-47ec-923d-3a1753061055",NA,"keep",550,0.941818181818182,547,2023-01-07 19:02:32,2023-01-07 19:17:37,15.0811999996503
"101",2023-01-04 11:51:54,"56df1aa1-f8f5-483f-b937-8d91979f1472",NA,"keep",800,0.885,800,2023-01-04 11:53:41,2023-01-04 12:10:43,17.0337500015895
"101",2023-01-02 09:06:38,"99a71405-3572-4894-b561-b4bcf884850c",NA,"keep",800,0.97625,800,2023-01-02 09:08:43,2023-01-02 09:25:09,16.4249166647593
"101",2023-01-06 19:48:16,"d060d416-fcf0-4533-93bb-f2b2094f64e1",NA,"keep",800,0.92375,800,2023-01-06 19:49:27,2023-01-06 20:05:28,16.0177166660627
"101",2023-01-04 21:05:01,"e3781753-8641-47f8-9a80-a48b401d242e",NA,"keep",800,0.97625,792,2023-01-04 21:07:35,2023-01-04 21:27:52,20.2836166699727
"1594",2023-01-07 18:44:35,"dc4784df-c745-4366-a2fd-4fdbeb5e9ef1",NA,"keep",600,0.951666666666667,598,2023-01-07 18:46:24,2023-01-07 19:01:12,14.7943166653315
"365",2023-01-07 06:24:37,"b03964ed-3d81-4282-8c4a-6a849230992b",NA,"exclude",800,0.62875,758,2023-01-07 06:26:15,2023-01-07 06:40:09,13.9030666629473
"101",2023-01-07 14:33:14,"43d375d6-567a-4cc2-8b11-0f320f78d13c",NA,"keep",800,0.9675,799,2023-01-07 14:34:23,2023-01-07 14:51:14,16.8410166700681
"1594",2023-01-05 11:47:51,"23934d88-4d21-455b-bd91-d8d1ca2c74fb",NA,"keep",353,0.824362606232295,300,2023-01-05 11:49:07,2023-01-05 12:09:32,20.4119833310445
"101",2023-01-03 16:07:24,"e4ed0628-2015-4ce6-bb63-934957938479",NA,"keep",800,0.9475,776,2023-01-03 16:16:27,2023-01-03 16:36:40,20.2057500004768
"101",2023-01-01 18:38:59,"df3d5937-9d8d-40b8-8c5d-fdbea4e0d7e2",NA,"keep",800,0.94375,800,2023-01-01 18:40:22,2023-01-01 18:55:28,15.1084833343824
"365",2023-01-01 20:57:09,"7ff4eab8-4219-40b5-803a-b8f2f7b2cb6b",NA,"keep",800,0.945,789,2023-01-01 20:59:23,2023-01-01 21:20:24,21.0180833339691
"1594",2023-01-06 10:42:23,"e567159a-28f2-43d9-a5b9-919280083ab9",NA,"keep",800,0.97375,794,2023-01-06 10:43:40,2023-01-06 11:03:51,20.1939666668574
"101",2023-01-01 16:09:08,"c95451c9-a978-47a7-8afc-dd433272ebd2",NA,"keep",433,0.92378752886836,433,2023-01-01 16:10:23,2023-01-01 16:18:40,8.27838333447774
"101",2023-01-01 18:27:47,"d7e8c53d-b7fb-4b3c-ba84-799049a59cfa",NA,"keep",800,0.94625,788,2023-01-01 18:29:28,2023-01-01 18:51:15,21.7714833339055
"101",2023-01-01 19:42:00,"84fe2625-6702-4690-b2cc-216a02ab2c71",NA,"keep",800,0.98,798,2023-01-01 19:44:35,2023-01-01 20:06:46,22.1782666643461
