"word_combo","ur_cue","ur_target","type","cue_type","target_type","ur_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"نصف قطرتوقع","نصف قطر","توقع","unrelated","word","word",NA,-0.550457368371935,0.444248403484375,0.15706552931755,8,16,20,1,0.8,11,19,2,0.578947368421053,FALSE,FALSE,FALSE
"نصف قطرمحیط","نصف قطر","محیط","related","word","word",NA,-0.278030977849808,0.563738640168711,0.187912880056237,9,21,33,0,0.636363636363636,24,33,0,0.727272727272727,FALSE,FALSE,FALSE
"نصف قطرمقندی","نصف قطر","مقندی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نصفجوشص","نصف","جوشص","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نصفچوتھائی","نصف","چوتھائی","related","word","word",0.420905893649044,-0.13688455107801,0.515770632585937,0.257885316292968,4,6,6,0,1,5,6,0,0.833333333333333,FALSE,FALSE,FALSE
"نصفمقابلہ کرنا","نصف","مقابلہ کرنا","unrelated","word","word",NA,-0.0371121361216617,1.24461519564216,0.2855343084947,19,27,27,1,1,24,28,0,0.857142857142857,FALSE,FALSE,FALSE
"نصیحتچروان","نصیحت","چروان","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نصیحتلمبائی","نصیحت","لمبائی","unrelated","word","word",0.0555212844629894,-0.672609567383637,0.352735570217533,0.101825988208924,12,16,17,0,0.941176470588235,16,17,0,0.941176470588235,FALSE,FALSE,FALSE
"نصیحتمشورہ","نصیحت","مشورہ","related","word","word",0.183173659765015,-0.64422946532875,0.654542242462317,0.181537355165774,13,25,27,1,0.925925925925926,28,28,0,1,FALSE,FALSE,FALSE
"نظراکبولنج","نظراک","بولنج","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"نظراکمنع کرنا","نظراک","منع کرنا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
