"word_combo","nl_cue","nl_target","type","cue_type","target_type","nl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"hoornconstracturen","hoorn","constracturen","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoornfluit","hoorn","fluit","related","word","word",0.445526802028134,-0.531356409280078,0.426853873624309,0.301831268615495,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"hoornsenaat","hoorn","senaat","unrelated","word","word",0.0192381017595488,0.495881065476011,0.987043012580017,0.312130406830709,10,10,11,0,0.909090909090909,10,11,0,0.909090909090909,FALSE,FALSE,FALSE
"hopigsellende","hopigs","ellende","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hopigstegenboog","hopigs","tegenboog","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hormoonactivivians","hormoon","activivians","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hormoonadrenaline","hormoon","adrenaline","related","word","word",0.531539673281279,-0.377241207180821,0.338546906216917,0.169273453108458,4,5,5,0,1,4,5,0,0.8,FALSE,FALSE,FALSE
"hormooncommunistisch","hormoon","communistisch","unrelated","word","word",0.123603331754357,0.369689079005487,0.968222186342424,0.433002125197026,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"hormuurdruufdeloek","hormuur","druufdeloek","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hormuurschedel","hormuur","schedel","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hotadinsdag","hota","dinsdag","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hotaslaptakening","hota","slaptakening","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hotelluitenant","hotel","luitenant","unrelated","word","word",0.142620985652121,-0.0741596703722634,0.383633964955943,0.27127017811383,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"hotelmotel","hotel","motel","related","word","word",0.739460009652615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hotelsadi","hotel","sadi","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"houdenbewaren","houden","bewaren","related","word","word",0.449775573034966,1.20372726892057,NA,NA,1,1,2,0,0.5,2,2,0,1,FALSE,FALSE,FALSE
"houdengrap","houden","grap","unrelated","word","word",0.104259118116231,-0.176607608034435,0.493086379100561,0.155927604116302,10,10,11,0,0.909090909090909,11,11,0,1,FALSE,FALSE,FALSE
"houdensangs","houden","sangs","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hourtstuurdhoed","hourt","stuurdhoed","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hourtwalglijk","hourt","walglijk","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoxnabereiden","hoxna","bereiden","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoxnaonverantslachtsdelijk","hoxna","onverantslachtsdelijk","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huepachtervolging","huep","achtervolging","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hueponkertabenen","huep","onkertabenen","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huidopnatuur","huid","opnatuur","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huidstraat","huid","straat","unrelated","word","word",0.0886464413958437,-0.703284431735718,0.608018376375886,0.175519786636429,12,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"huidzakdoek","huid","zakdoek","related","word","word",0.216108205437102,0.292914184042111,1.15379191489447,0.279835643240797,17,17,17,0,1,17,17,0,1,FALSE,FALSE,FALSE
"huisappartement","huis","appartement","related","word","word",0.70717305951736,-0.085708446834023,1.01582446139004,0.50791223069502,4,4,4,0,1,3,4,0,0.75,FALSE,FALSE,FALSE
"huischirurgie","huis","chirurgie","unrelated","word","word",0.0685715861802201,0.16378338420241,0.652396204298062,0.266339635109797,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"huisjumont","huis","jumont","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hulpeloosfoler","hulpeloos","foler","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hulpeloosmachteloos","hulpeloos","machteloos","related","word","word",0.675648548400076,-0.609221749185763,0.237338322943512,0.0839117687944002,8,8,8,0,1,8,8,0,1,FALSE,FALSE,FALSE
"hulpelooswedstrijd","hulpeloos","wedstrijd","unrelated","word","word",0.0784548337429455,-0.352554959602491,0.700693025557044,0.31335944730111,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"hulpeningmisselijkheid","hulpening","misselijkheid","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hulpeningveidag","hulpening","veidag","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hulpmiddeldronken","hulpmiddel","dronken","unrelated","word","word",0.0606806375089953,-0.0356513368156207,1.87570622743043,0.708950315770868,7,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"hulpmiddelinfardurp","hulpmiddel","infardurp","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hulpmiddelinstrument","hulpmiddel","instrument","related","word","word",0.424694659769164,-0.357970966967271,0.678836309413686,0.240004878851033,8,8,8,0,1,7,8,0,0.875,FALSE,FALSE,FALSE
"hurenfinish","huren","finish","unrelated","word","word",-0.0415356567374769,-0.927710651001196,NA,NA,1,1,2,0,0.5,2,2,0,1,FALSE,FALSE,FALSE
"hurenhagemerd","huren","hagemerd","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hurenhuur","huren","huur","related","word","word",0.58060173167882,-1.19557552767257,0.393791974145083,0.227355902277378,3,3,4,0,0.75,4,4,0,1,FALSE,FALSE,FALSE
"huurderkont","huurder","kont","unrelated","word","word",0.0881683046912002,-0.308648998338057,0.319598071246134,0.130475366221782,6,6,6,0,1,5,6,0,0.833333333333333,FALSE,FALSE,FALSE
"huurderlandheer","huurder","landheer","related","word","word",0.347790411789904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huurdersestad","huurder","sestad","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"huurlingproceduresienstadt","huurling","proceduresienstadt","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
