"word_combo","fa_cue","fa_target","type","cue_type","target_type","fa_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"تدیرقسرآشپز","تدیرق","سرآشپز","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تدیرقمرشه","تدیرق","مرشه","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تراشهدستگاه","تراشه","دستگاه","related","word","word",0.326251582901725,-1.08092118343903,0.033413852890709,0.0192914969611134,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"تراشهراندن","تراشه","راندن","unrelated","word","word",0.0830133419763131,-0.22392701379112,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"تراشهفانتبا","تراشه","فانتبا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تربنکردنواکسن","تربنکردن","واکسن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تربنکردنينک","تربنکردن","ينک","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترتیب دادنبرنامه","ترتیب دادن","برنامه","unrelated","word","word",NA,-0.767839647942268,0.105068692823841,0.0742947851861442,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"ترتیب دادنسازمان دادن","ترتیب دادن","سازمان دادن","related","word","word",NA,-0.568652255133508,0.27790101119867,0.138950505599335,4,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"ترتیب دادنفورتد","ترتیب دادن","فورتد","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترتیلندادنالگن","ترتیلندادن","الگن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترتیلندادنکلاه لبه دار","ترتیلندادن","کلاه لبه دار","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترحزبیارتبمز","ترحزبی","ارتبمز","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترحزبیون","ترحزبی","ون","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترحکریتمل","ترحک","ریتمل","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترحکماهیچه","ترحک","ماهیچه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترذیرنشان دادن","ترذیر","نشان دادن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترذیروزاب","ترذیر","وزاب","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترسناکایمان","ترسناک","ایمان","unrelated","word","word",0.0412320522048874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترسناکبه اطلاع رساندن","ترسناک","به اطلاع رساندن","unrelated","word","word",NA,-0.432341007938486,0.139244740264549,0.0984609000856222,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"ترسناکپالات","ترسناک","پالات","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترسناکترس","ترسناک","ترس","related","word","word",0.265057692375301,-0.729840672522824,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"ترسناکعجیب و غریب","ترسناک","عجیب و غریب","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترسناکمانن","ترسناک","مانن","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترک کردنرها کردن","ترک کردن","رها کردن","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترک کردنلباس","ترک کردن","لباس","unrelated","word","word",NA,-0.986022321736092,0.0609812126124644,0.0431202289632522,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"ترک کردنمجكله","ترک کردن","مجكله","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکجسله","ترک","جسله","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکروانشناسی","ترک","روانشناسی","unrelated","word","word",0.079786508142694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکسوراخ","ترک","سوراخ","related","word","word",0.102446737382412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکواکراه رفتن","ترکواک","راه رفتن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکواکزیسترلناسی","ترکواک","زیسترلناسی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکواکسرآشاغ","ترکواک","سرآشاغ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکواکفوتبال","ترکواک","فوتبال","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکیبتوقصه","ترکیب","توقصه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکیبشفا دادن","ترکیب","شفا دادن","unrelated","word","word",NA,-0.592715924409862,0.560799137404901,0.396544872942572,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"ترکیبمخلوط","ترکیب","مخلوط","related","word","word",0.436080133170945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکیدنپب","ترکیدن","پب","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترکیدنمعما","ترکیدن","معما","unrelated","word","word",0.0927821172997979,-0.957673740809362,0.0386738712848083,0.022328369996889,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"ترکیدنمنفجر شدن","ترکیدن","منفجر شدن","related","word","word",NA,-0.399855259783156,0.493165258787401,0.34872049873419,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"ترگینجرگب","ترگین","جرگب","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ترگینساختن","ترگین","ساختن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تريرهبافت","تريره","بافت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تريرهنرایم","تريره","نرایم","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تریلیکوشش","تریلی","کوشش","unrelated","word","word",0.068902918627732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تریلینبستون","تریلی","نبستون","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تریلیون","تریلی","ون","related","word","word",0.214365275242295,0.335799170482469,NA,NA,1,1,2,0,0.5,1,2,0,0.5,FALSE,FALSE,FALSE
"تزامآرزو","تزام","آرزو","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تزامجهایم","تزام","جهایم","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تزگزیرنسرعت","تزگزیرن","سرعت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تزگزیرنشيکارونی","تزگزیرن","شيکارونی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تسپتیرض","تسپ","تیرض","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تسپملوان","تسپ","ملوان","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تسژکمد لباس","تسژ","کمد لباس","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تسژگرقله","تسژ","گرقله","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تشخیصدانستن","تشخیص","دانستن","related","word","word",0.137262863967604,-0.142150541213871,0.855002394390424,0.427501197195212,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"تشخیصدر نهایت","تشخیص","در نهایت","unrelated","word","word",NA,-0.144224466767885,0.265600656727792,0.187808025459822,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"تشخیصکوقد","تشخیص","کوقد","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تشریفاتدودا","تشریفات","دودا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تشریفاتمادر","تشریفات","مادر","unrelated","word","word",0.107181072369862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تشریفاتمراسم","تشریفات","مراسم","related","word","word",0.446299160743893,-0.244311168049577,0.852905854837521,0.60309551366932,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"تصافشیجنگنده","تصافشی","جنگنده","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تصافشیيرک","تصافشی","يرک","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تصویرتووافرنگی","تصویر","تووافرنگی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تصویرسوخت","تصویر","سوخت","unrelated","word","word",0.0726872825336715,-0.641650940021257,0.121843406148879,0.086156298730739,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"تصویرعکس","تصویر","عکس","related","word","word",0.375328638868584,-0.657948126592064,0.291163879916536,0.168103544448108,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"تصیلرسنارتمان","تصیلر","سنارتمان","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تصیلرسیستم","تصیلر","سیستم","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعئولدلار","تعئول","دلار","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعئولرؤجه","تعئول","رؤجه","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعادلبازرگان","تعادل","بازرگان","unrelated","word","word",0.0561693698852729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعادلظادخانه","تعادل","ظادخانه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعادلهماهنگی","تعادل","هماهنگی","related","word","word",0.281898103194301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعارضاختلاف نظر","تعارض","اختلاف نظر","related","word","word",NA,-0.462551124628253,0.200985631535247,0.142118302979634,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"تعارضسیم","تعارض","سیم","unrelated","word","word",0.099238363081113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعارضشوخیتوردن","تعارض","شوخیتوردن","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعجبجای زخم","تعجب","جای زخم","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعجبصنفای","تعجب","صنفای","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعجبناامیدی","تعجب","ناامیدی","related","word","word",0.261739223751929,-0.363090880871128,0.475701839002311,0.274646584801984,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"تعراضسبک","تعراض","سبک","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعراضصبجونه","تعراض","صبجونه","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعریامو جیدامن","تعریامو جید","امن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعریامو جیدتصزوف","تعریامو جید","تصزوف","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعریف و تمجیددروازه","تعریف و تمجید","دروازه","unrelated","word","word",NA,-0.700539757782556,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"تعریف و تمجیدنورلنده","تعریف و تمجید","نورلنده","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعریف و تمجیدهدیه","تعریف و تمجید","هدیه","related","word","word",NA,-0.677502313401846,0.59708796022748,0.225678036227534,7,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"تعوكتوصیه","تعوك","توصیه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعوكصنفای","تعوك","صنفای","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعييدرستوران","تعييد","رستوران","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تعييدمحژت","تعييد","محژت","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تغییتندادنحرفهاخی","تغییتندادن","حرفهاخی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تغییتندادنکنایه آمیز","تغییتندادن","کنایه آمیز","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تغییرانسیار","تغییر","انسیار","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تغییربهبود","تغییر","بهبود","related","word","word",0.329157563736767,-0.257250519795858,0.328243538882846,0.189511495533766,3,3,3,0,1,1,3,0,0.333333333333333,FALSE,FALSE,FALSE
"تغییرعبارت","تغییر","عبارت","unrelated","word","word",-0.0240692933361565,-0.943445544982548,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"تفگهتظاهرات","تفگه","تظاهرات","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تفگهزکاری","تفگه","زکاری","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تفنگاسلحه","تفنگ","اسلحه","related","word","word",0.727500271979323,0.207753189435259,1.35499346423289,0.958125067022526,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"تفنگقدردانی","تفنگ","قدردانی","unrelated","word","word",0.0671889292522526,-0.0834475878440827,0.402503809064962,0.18000517565437,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"تفنگمقدان","تفنگ","مقدان","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقاضادرخواست","تقاضا","درخواست","related","word","word",0.576963779801523,-0.745844804164242,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"تقاضاشیر نر","تقاضا","شیر نر","unrelated","word","word",NA,1.22225507254815,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"تقاضايسته","تقاضا","يسته","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقدیرسرنوشت","تقدیر","سرنوشت","related","word","word",0.351254015154034,0.256413748326226,0.828374522373847,0.478262253482369,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"تقدیرضماب","تقدیر","ضماب","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقدیرکالباس","تقدیر","کالباس","unrelated","word","word",0.137594982519565,-0.0402655984971117,0.314176740790166,0.222156503903814,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"تقوغاتاثیر گذاشتن","تقوغا","تاثیر گذاشتن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقوغاعنوقب","تقوغا","عنوقب","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقویمبرنامه","تقویم","برنامه","related","word","word",0.300559712889891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقویمتاشهبد","تقویم","تاشهبد","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقویمشاهزاده","تقویم","شاهزاده","unrelated","word","word",0.0639670420256746,0.925843058521986,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"تقيکمشککش","تقيکم","شککش","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقيکممجرم","تقيکم","مجرم","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقیونوس طلاسظالم","تقیونوس طلاس","ظالم","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تقیونوس طلاسعي","تقیونوس طلاس","عي","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تکاملتوکپه","تکامل","توکپه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تکاملجهش","تکامل","جهش","related","word","word",0.47169279777291,0.536502168522363,0.694997269531624,0.491437282191946,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"تکاملعمو زاده","تکامل","عمو زاده","unrelated","word","word",NA,-0.0460728403525982,0.273531867617867,0.193416238463215,2,2,2,0,1,1,2,0,0.5,FALSE,FALSE,FALSE
"تلاشقلعه","تلاش","قلعه","unrelated","word","word",0.10952772879618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلاشکوشش","تلاش","کوشش","related","word","word",0.332602295549047,-0.519727445309804,0.384349863032988,0.192174931516494,4,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"تلاشوسچت","تلاش","وسچت","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلاوندتاییدیه","تلاوند","تاییدیه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلاوندتقاس","تلاوند","تقاس","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلاوندژنالت","تلاوند","ژنالت","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلاوندشریان","تلاوند","شریان","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلرارزشتاد","تلر","ارزشتاد","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلرسوراخ","تلر","سوراخ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلزاضبتی","تلز","اضبتی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلزشستشو","تلز","شستشو","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلسکحيفیزیکی","تلسکحي","فیزیکی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلسکحيفیوسی","تلسکحي","فیوسی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلسکوپبریدن","تلسکوپ","بریدن","unrelated","word","word",0.0963739989774464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلسکوپمیکروسکوپ","تلسکوپ","میکروسکوپ","related","word","word",0.510287888375116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلسکوپونهام","تلسکوپ","ونهام","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلگرافبرگزیدن","تلگراف","برگزیدن","unrelated","word","word",NA,-0.320672215947558,0.929577371158706,0.379498372629434,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"تلگرافطورکنی","تلگراف","طورکنی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلگرافنامه","تلگراف","نامه","related","word","word",0.437188106421637,-0.732468809492113,0.266023851400358,0.153588942216857,3,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"تلهاجایزه","تلها","جایزه","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلهارزیمشی","تله","ارزیمشی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلهامجكله","تلها","مجكله","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلهطعمه","تله","طعمه","related","word","word",0.442118625501601,0.357521383104188,0.130683711314749,0.0924073384612838,2,2,2,0,1,0,2,0,0,FALSE,FALSE,FALSE
"تلهمردم","تله","مردم","unrelated","word","word",0.0896703601752099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلوبکفش","تلوب","کفش","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تلوبلباستسرم","تلوب","لباستسرم","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمارزپسلی","تمارز","پسلی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمارزدرد","تمارز","درد","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تماناز قرج","تمان","از قرج","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمانستاره","تمان","ستاره","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمرینآرزو","تمرین","آرزو","unrelated","word","word",0.0819017319644962,-0.766437658749371,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"تمریندانشتاد","تمرین","دانشتاد","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمرینورزش","تمرین","ورزش","related","word","word",0.352716349363809,0.255551822316154,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"تمفشکنسرت","تمفش","کنسرت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمفشنظرهی","تمفش","نظرهی","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تممخاکی","تمم","خاکی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمموسچت","تمم","وسچت","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمیزشستشو","تمیز","شستشو","related","word","word",0.360633660766057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمیزلزیمی","تمیز","لزیمی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تمیزنعوظ","تمیز","نعوظ","unrelated","word","word",0.14762950760525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تنباکوپادشاه","تنباکو","پادشاه","unrelated","word","word",0.111359496315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تنباکوسیگار","تنباکو","سیگار","related","word","word",0.349728080487752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تنباکوومتی","تنباکو","ومتی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تنبعخارجی","تنبع","خارجی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تنبعقداه","تنبع","قداه","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"تنبیگزکردنتحلیل","تنبیگزکردن","تحلیل","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
