"word_combo","fa_cue","fa_target","type","cue_type","target_type","fa_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"مزدورقاتل","مزدور","قاتل","related","word","word",0.371576965453608,0.283155467731004,1.28973975286576,0.74463159350161,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"مزدورمیپا","مزدور","میپا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مزرعلبداردزدیدن","مزرعلبدار","دزدیدن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مزرعلبدارهمراهینتردن","مزرعلبدار","همراهینتردن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسئوليتاهمان","مسئوليت","اهمان","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسئوليتسندرم","مسئوليت","سندرم","unrelated","word","word",0.105972789205092,0.96477986963684,1.07987692958957,0.539938464794786,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"مسئوليتوظیفه","مسئوليت","وظیفه","related","word","word",0.331093047929682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسئوورتجالبشتست","مسئوورت","جالبشتست","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسئوورتخواهرزاده","مسئوورت","خواهرزاده","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسابالتبه ندرت","مسابالت","به ندرت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسابالتدرشلاره","مسابالت","درشلاره","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسابقاترقابت","مسابقات","رقابت","related","word","word",0.403117561013725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسابقاتشمتایی","مسابقات","شمتایی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسابقاتکشیدن","مسابقات","کشیدن","unrelated","word","word",0.0312120553145124,-0.237561760372042,0.999134363319901,0.57685049361935,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"مسابیمتحتوران","مسابیم","تحتوران","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسابیمگوش","مسابیم","گوش","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسافتسرعت","مسافت","سرعت","related","word","word",0.388078006523752,-1.17855716098692,NA,NA,1,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مسافتفشار دادن","مسافت","فشار دادن","unrelated","word","word",NA,-0.661881657836079,0.130257494612832,0.0752041995786849,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"مسافتمعاور","مسافت","معاور","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسافرراننده","مسافر","راننده","related","word","word",0.342648624483531,-0.415556597245159,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"مسافرصدا","مسافر","صدا","unrelated","word","word",0.0778121765842123,-0.797758140548048,0.460035330817093,0.205734054351725,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"مسافرفيا","مسافر","فيا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسبیربودن","مسبی","ربودن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسبینورلنده","مسبی","نورلنده","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مستاجرصاحب خانه","مستاجر","صاحب خانه","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مستاجرمتهمسان","مستاجر","متهمسان","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مستاجرنشیمنگاه","مستاجر","نشیمنگاه","unrelated","word","word",NA,1.6132212220429,0.972441058299993,0.486220529149997,4,4,4,0,1,3,4,0,0.75,FALSE,FALSE,FALSE
"مستعشبهارائــدادن","مستعشبه","ارائــدادن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مستعشبهقفل","مستعشبه","قفل","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مستعمرهاتحادیه","مستعمره","اتحادیه","related","word","word",0.318688347728798,-0.746545373097246,NA,NA,1,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مستعمرهچشدكانداز","مستعمره","چشدكانداز","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مستعمرهمرد همجنس گرا","مستعمره","مرد همجنس گرا","unrelated","word","word",NA,0.735679057679655,0.486308473728949,0.280770328216605,3,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"مستقیمبه طور مستقیم","مستقیم","به طور مستقیم","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مستقیمجهایم","مستقیم","جهایم","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مستقیمجواهر","مستقیم","جواهر","unrelated","word","word",0.0526793129209381,-0.826749331257386,0.273929817926163,0.193697631824786,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مسجدجایزه","مسجد","جایزه","unrelated","word","word",0.0317067258185806,0.952854821475734,1.89007943117227,1.33648798276312,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مسجدخودان","مسجد","خودان","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسجدنمازخانه","مسجد","نمازخانه","related","word","word",NA,-0.689753727577399,0.288668039723172,0.117848233728539,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"مسخرهبلتگیری","مسخره","بلتگیری","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسخرهتب","مسخره","تب","unrelated","word","word",0.0936272825952142,-0.384107870536749,0.0979566782428534,0.0692658314480304,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"مسخرهچرند","مسخره","چرند","related","word","word",0.343033325366899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسخرهحکال","مسخره","حکال","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"مسخرهدائماً","مسخره","دائماً","unrelated","word","word",NA,1.44822096893785,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"مسخرهکنایه آمیز","مسخره","کنایه آمیز","related","word","word",NA,-0.229464091851969,0.142565961859311,0.0823104964567512,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"مسنلردوست","مسنلر","دوست","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
