"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"fizésinfância","fizés","infância","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flectomiaaletair","flectomia","aletair","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flectomiaconvés","flectomia","convés","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fletohomicida","fleto","homicida","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fletovildfina","fleto","vildfina","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"foamorteproiast","foamorte","proiast","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"foamortetrono","foamorte","trono","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"focarconcentrar","focar","concentrar","related","word","word",0.84039849640317,-0.0901651484462767,1.12768840096516,0.196305353488443,33,34,34,1,1,33,34,1,0.970588235294118,FALSE,FALSE,FALSE
"focarlarin","focar","larin","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"focarreino","focar","reino","unrelated","word","word",0.0435863626815487,-0.43938154345868,0.506836173290752,0.0833233536187223,37,41,41,0,1,37,41,0,0.902439024390244,FALSE,FALSE,FALSE
"fõemclássico","fõem","clássico","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fõemrapamacheque","fõem","rapamacheque","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fogueteesposa","foguete","esposa","unrelated","word","word",0.0654245269152453,-0.606667540477026,0.49454595102319,0.0934603998786636,28,28,29,1,0.96551724137931,26,29,1,0.896551724137931,FALSE,FALSE,FALSE
"foguetelaplanta","foguete","laplanta","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"foguetemíssil","foguete","míssil","related","word","word",0.547580726866905,-0.364753876258325,0.446652581544275,0.0974675840130512,21,21,24,0,0.875,23,24,0,0.958333333333333,FALSE,FALSE,FALSE
"fomecarrigão","fome","carrigão","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fomecientista","fome","cientista","unrelated","word","word",0.0785316040001676,-0.591647793291392,0.462185438976507,0.0843831302259535,30,33,34,0,0.970588235294118,32,34,0,0.941176470588235,FALSE,FALSE,FALSE
"fomemconexão","fomem","conexão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fomempreabaste","fomem","preabaste","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fomesede","fome","sede","related","word","word",0.521690001857812,-0.663358628112952,0.642504108105935,0.107084018017656,36,39,41,0,0.951219512195122,38,41,0,0.926829268292683,FALSE,FALSE,FALSE
"fonteconsvata","fonte","consvata","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fonteinformante","fonte","informante","related","word","word",0.334594892139495,0.506462980596156,1.12759607794799,0.258688281732004,19,22,26,0,0.846153846153846,26,26,0,1,FALSE,FALSE,FALSE
"fontepensar","fonte","pensar","unrelated","word","word",0.0492225514516794,-0.742521504544497,0.539480662618156,0.105800862534459,26,28,28,0,1,27,28,0,0.964285714285714,FALSE,FALSE,FALSE
"foraacerca","fora","acerca","related","word","word",0.187985493518233,-0.18994310144752,1.38741018430901,0.222163431383778,39,39,41,0,0.951219512195122,40,41,0,0.975609756097561,FALSE,FALSE,FALSE
"foradentro","fora","dentro","related","word","word",0.570172373932871,-0.819105440011251,0.356913446571209,0.0713826893142417,25,27,27,1,1,24,27,1,0.888888888888889,FALSE,FALSE,FALSE
"foraêm","fora","êm","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"foraequipar","fora","equipar","unrelated","word","word",0.102517931904828,-0.382446371211281,0.656317999206372,0.106468838544956,38,42,45,0,0.933333333333333,45,45,0,1,FALSE,FALSE,FALSE
"forainalmar","fora","inalmar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
