"word_combo","tr_cue","tr_target","type","cue_type","target_type","tr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"korumakorkunç","koruma","korkunç","unrelated","word","word",0.12044752338243,-0.512728062805976,0.600266789996256,0.0498494436155033,145,156,161,7,0.968944099378882,160,161,7,0.993788819875776,TRUE,TRUE,TRUE
"korumakpaham","korumak","paham","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"korumaksavunmak","korumak","savunmak","related","word","word",0.640660051018176,-0.529226098805595,0.666396923563049,0.0608334378812546,120,129,133,7,0.969924812030075,127,133,7,0.954887218045113,TRUE,TRUE,TRUE
"korumaksürdürmek","korumak","sürdürmek","related","word","word",0.419507289963634,-0.388297575906768,0.748366308075091,0.0653850679233651,131,147,152,10,0.967105263157895,144,150,12,0.96,TRUE,TRUE,TRUE
"korumakyapı","korumak","yapı","unrelated","word","word",0.130882507175063,-0.467647094246297,0.539840997889438,0.0494871431399457,119,124,130,7,0.953846153846154,125,130,7,0.961538461538462,TRUE,TRUE,TRUE
"korumakzit","korumak","zit","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"köşeaçıktışma","köşe","açıktışma","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"köşebakım","köşe","bakım","unrelated","word","word",0.126403570696041,-0.502216510208145,0.620970919320567,0.0530531260140944,137,145,145,9,1,141,144,10,0.979166666666667,TRUE,TRUE,TRUE
"köşesokak","köşe","sokak","related","word","word",0.253992765966974,-0.568116242427894,0.541577874876541,0.0478691734832252,128,138,138,7,1,133,137,8,0.970802919708029,TRUE,TRUE,TRUE
"koşmakfestival","koşmak","festival","unrelated","word","word",0.132727489564421,-0.260639294689607,0.659434071065285,0.0652937025220398,102,110,112,4,0.982142857142857,109,111,5,0.981981981981982,TRUE,TRUE,TRUE
"koşmakgeoja","koşmak","geoja","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"koşmakyürümek","koşmak","yürümek","related","word","word",0.654600434722567,-0.58400449937025,0.531616053562054,0.0469886645576699,128,137,142,6,0.964788732394366,133,142,6,0.936619718309859,TRUE,TRUE,TRUE
"kötülükbeh poku","kötülük","beh poku","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kötülükpozisyon","kötülük","pozisyon","unrelated","word","word",0.0473046497530214,-0.340202120670841,0.7004794103427,0.063944729018769,120,128,134,5,0.955223880597015,130,136,3,0.955882352941177,TRUE,TRUE,TRUE
"kötülükzulüm","kötülük","zulüm","related","word","word",0.472154218603344,0.228085197927218,0.856331959439975,0.0812794326320857,111,118,135,9,0.874074074074074,130,135,9,0.962962962962963,TRUE,TRUE,TRUE
"köuntkeskin nişancı","köunt","keskin nişancı","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
