"word_combo","es_cue","es_target","type","cue_type","target_type","es_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"sotráscentímetro","sotrás","centímetro","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sotrássalfidor","sotrás","salfidor","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stalobemportante","stalo","bemportante","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stalodescripción","stalo","descripción","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"statuscanclaración","status","canclaración","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"statusposición","status","posición","related","word","word",0.389887201498038,-0.0192211704908761,0.916428271225105,0.157166151899701,34,35,36,1,0.972222222222222,18,36,1,0.5,FALSE,FALSE,FALSE
"statusrepugnante","status","repugnante","unrelated","word","word",0.0818629861798124,0.767233852640718,1.4997643335625,0.214252047651786,49,52,55,0,0.945454545454545,43,55,0,0.781818181818182,FALSE,TRUE,FALSE
"subastacealla","subasta","cealla","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subastarebajas","subasta","rebajas","related","word","word",0.3522741311335,-0.40965893449159,0.526423941152108,0.0793613951573488,44,49,51,0,0.96078431372549,50,51,0,0.980392156862745,TRUE,TRUE,FALSE
"subastateoría","subasta","teoría","unrelated","word","word",0.0582873529882201,-0.782051122819768,0.448675088873388,0.0640964412676268,49,50,50,2,1,46,50,2,0.92,TRUE,TRUE,FALSE
"subestimarexagerar","subestimar","exagerar","related","word","word",0.501534761639774,-0.366376113787203,0.596925143303129,0.0955845211569672,39,39,39,1,1,36,39,1,0.923076923076923,FALSE,FALSE,FALSE
"subestimarmicrófono","subestimar","micrófono","unrelated","word","word",0.110280992073176,-0.544707645604201,0.497437499774771,0.0741536042702616,45,48,50,1,0.96,48,50,1,0.96,TRUE,TRUE,FALSE
"subestimarquiecaso","subestimar","quiecaso","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sublinrinofingitud","sublinrino","fingitud","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sublinrinofruta","sublinrino","fruta","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"submarinoaprobación","submarino","aprobación","unrelated","word","word",0.118203071643062,-0.406699403474447,0.558164794183225,0.0930274656972041,36,36,36,0,1,36,36,0,1,FALSE,FALSE,FALSE
"submarinobarco","submarino","barco","related","word","word",0.661267796050965,-0.363586287043804,0.835395840912939,0.152521715504671,30,31,32,1,0.96875,28,32,1,0.875,FALSE,FALSE,FALSE
"submarinopólur","submarino","pólur","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sucioabandonar","sucio","abandonar","unrelated","word","word",0.112375638736196,-0.212010552468432,0.749152164360328,0.118451357671173,40,45,47,1,0.957446808510638,45,46,2,0.978260869565217,FALSE,FALSE,FALSE
"sucioasqueroso","sucio","asqueroso","related","word","word",0.733508264042649,-0.288641668023449,0.779458143188635,0.144741743494271,29,31,31,0,1,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"suciopisaje","sucio","pisaje","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sueloalfombra","suelo","alfombra","related","word","word",0.441396249268272,-0.476789006872604,0.52387626888785,0.0940909554982622,31,31,34,0,0.911764705882353,33,34,0,0.970588235294118,FALSE,FALSE,FALSE
"sueloAlórica","suelo","Alórica","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suelogriego","suelo","griego","unrelated","word","word",0.138784172235418,-0.326070830919113,1.0662601677514,0.149306287729465,51,51,52,1,0.980769230769231,50,52,1,0.961538461538462,FALSE,TRUE,TRUE
"suemantedeclasión","suemante","declasión","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suemanteluz","suemante","luz","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sufirmananimal","Sufirman","animal","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sufirmanyusado","Sufirman","yusado","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sufrimientodolor","sufrimiento","dolor","related","word","word",0.726357217619386,-0.34466902159275,0.905826124376424,0.132128319930738,47,50,50,2,1,48,50,2,0.96,FALSE,TRUE,FALSE
"sufrimientomotor","sufrimiento","motor","unrelated","word","word",0.096409911840568,-0.761764574211385,0.35303988465685,0.0504342692366929,49,49,50,1,0.98,47,50,1,0.94,TRUE,TRUE,FALSE
"sufrimientoparguido","sufrimiento","parguido","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sufrirencantador","sufrir","encantador","unrelated","word","word",0.0500367430044664,-0.245928374433487,0.996052371928959,0.178896287094786,31,32,32,0,1,32,32,0,1,FALSE,FALSE,FALSE
"sufrirmorir","sufrir","morir","related","word","word",0.564132117934884,-0.76779284154679,0.399522094966019,0.0499402618707524,64,66,66,3,1,64,67,2,0.955223880597015,TRUE,TRUE,TRUE
"sufrirtordiga","sufrir","tordiga","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suguntarsermón","suguntar","sermón","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suguntartamato","suguntar","tamato","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suicidioasesinato","suicidio","asesinato","related","word","word",0.551473769744629,-0.35836345460551,0.49811059846462,0.0632601092651476,62,63,63,0,1,62,63,0,0.984126984126984,TRUE,TRUE,TRUE
"suicidiodiluntamente","suicidio","diluntamente","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suicidioseñal","suicidio","señal","unrelated","word","word",0.0979135411425532,-0.752027474507257,0.383428069339971,0.0565333845881809,46,47,47,1,1,46,47,1,0.978723404255319,FALSE,FALSE,FALSE
"sumacantidad","suma","cantidad","related","word","word",0.519833245956304,-0.331316427741161,0.677457568712633,0.159678280267618,18,20,20,3,1,19,20,3,0.95,FALSE,FALSE,FALSE
"sumafoncal","suma","foncal","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sumapuerta","suma","puerta","unrelated","word","word",0.0919612414635518,-0.706535845348284,0.440420494736919,0.0766673673586516,33,34,35,1,0.971428571428571,33,35,1,0.942857142857143,FALSE,FALSE,FALSE
"sumploesvandio","sumplo","esvandio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sumplohermoso","sumplo","hermoso","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sunesutider","sune","sutider","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sunevalioso","sune","valioso","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suniabarba","sunia","barba","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suniareacrinta","sunia","reacrinta","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suñimientoliterazora","suñimiento","literazora","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
