"word_combo","no_cue","no_target","type","cue_type","target_type","no_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"nytelokal","nyte","lokal","unrelated","word","word",0.118407308404245,NA,NA,NA,NA,0,1,0,0,1,1,0,1,FALSE,FALSE,NA
"nytetuått","nyte","tuått","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nyttigdame","nyttig","dame","unrelated","word","word",0.0837416580478292,-0.703226522217139,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"nyttigeffektiv","nyttig","effektiv","related","word","word",0.270265546456587,-0.97697902832202,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"nyttigfantasmans","nyttig","fantasmans","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"objektneryal","objekt","neryal","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"objektsubjekt","objekt","subjekt","related","word","word",0.655667005641845,-0.824228966046685,0.192885124807303,0.0964425624036516,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"objektvanlig","objekt","vanlig","unrelated","word","word",0.100133053849942,-0.325360797313567,0.609200520508662,0.351722084506136,3,3,3,0,1,2,3,0,0.666666666666667,FALSE,FALSE,FALSE
"observaniljeefstrativ","observanilje","efstrativ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observaniljevaske","observanilje","vaske","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observasjondebu","observasjon","debu","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observasjonevaluering","observasjon","evaluering","related","word","word",0.356741402812165,-0.848139439671189,0.148587433536802,0.0742937167684012,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"observasjontrone","observasjon","trone","unrelated","word","word",0.0713405265986949,-0.454154439198044,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"øddavslutle","ødd","avslutle","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"øddsvart","ødd","svart","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"odeteinndestru","odete","inndestru","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"odeteromvesen","odete","romvesen","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"offerangriperen","offer","angriperen","related","word","word",0.208809038703288,0.150921242692951,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"offerlukt","offer","lukt","unrelated","word","word",0.0711917322702012,-0.34711762871321,0.220013748048659,0.127024996661312,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"offerorn","offer","orn","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"offisielloffisielt","offisiell","offisielt","related","word","word",0.754009454351357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"offisielltikkeier","offisiell","tikkeier","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"offisiellventilasjon","offisiell","ventilasjon","unrelated","word","word",0.142962905796148,-0.18368175657242,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"offisilandslora","offisilands","lora","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"offisilandssmør","offisilands","smør","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ofingfly","ofing","fly","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ofingtikkeier","ofing","tikkeier","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oiigbelønsjon","oiig","belønsjon","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oiigvelger","oiig","velger","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oiredist","oir","edist","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oirgave","oir","gave","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"økebakgate","øke","bakgate","unrelated","word","word",0.0640298128150667,-0.326339373270994,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"økebegistillhet","øke","begistillhet","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"økeredusere","øke","redusere","related","word","word",0.577815735794861,-0.685451431302794,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"okgreit","ok","greit","related","word","word",0.429463448538838,-0.367274265189745,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"okofte","ok","ofte","unrelated","word","word",0.0783839818174928,-0.779785027221665,0.049449118694568,0.0285494619894986,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
