"word_combo","ko_cue","ko_target","type","cue_type","target_type","ko_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"실험수도원","실험","수도원","unrelated","word","word",0.183037246863435,NA,NA,NA,NA,NA
"실험시험","실험","시험","related","word","word",0.34248175945113,NA,NA,NA,NA,NA
"실험혼동","실험","혼동","unrelated","word","word",0.186497640489102,NA,NA,NA,NA,NA
"싫네 조화음란","싫네 조화","음란","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"싫네 조화징후","싫네 조화","징후","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"싫어합니책임지지 않는","싫어합니","책임지지 않는","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"싫어합니충분적 인","싫어합니","충분적 인","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"심심다이스가족","심심다이스","가족","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"심심다이스을땐","심심다이스","을땐","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"심지아슬리","심지아","슬리","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"심지아아픈","심지아","아픈","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"십대길","십대","길","unrelated","word","word",0.140716835358567,NA,NA,NA,NA,NA
"십대성공님","십대","성공님","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"십대열대의 소년/소녀","십대","열대의 소년/소녀","related","word","word",NA,NA,NA,NA,NA,NA
"십일월그기색","십일월","그기색","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"십일월십이월","십일월","십이월","related","word","word",NA,NA,NA,NA,NA,NA
"십일월혼합물","십일월","혼합물","unrelated","word","word",NA,NA,NA,NA,NA,NA
"싸웠어린 시절","싸웠","어린 시절","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"싸웠조종들과","싸웠","조종들과","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"썩었li감","썩었","li감","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"썩었컴퓨터","썩었","컴퓨터","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"쏘세범죄","쏘세","범죄","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"쏘세악감","쏘세","악감","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"쏩니랬어","쏩니","랬어","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"쏩니창의력","쏩니","창의력","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"쓰겠있는늦는적인","쓰겠있는","늦는적인","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"쓰겠있는주다","쓰겠있는","주다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"쓰레기엠파다","쓰레기","엠파다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"쓰레기정상","쓰레기","정상","unrelated","word","word",0.0770753932739846,NA,NA,NA,NA,NA
"쓰레기찌꺼기","쓰레기","찌꺼기","related","word","word",0.28417021023446,NA,NA,NA,NA,NA
"쓰진다굶주린","쓰진다","굶주린","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"쓰진다접근 시절","쓰진다","접근 시절","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"쓸모없는가치 없는","쓸모없는","가치 없는","related","word","word",NA,NA,NA,NA,NA,NA
"쓸모없는소지다","쓸모없는","소지다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"쓸모없는지역 사회","쓸모없는","지역 사회","unrelated","word","word",NA,NA,NA,NA,NA,NA
"씌우다덕이","씌우다","덕이","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"씌우다미친","씌우다","미친","unrelated","word","word",NA,NA,NA,NA,NA,NA
"씌우다숨다","씌우다","숨다","related","word","word",NA,NA,NA,NA,NA,NA
"씨두긴","씨두","긴","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"씨두움이","씨두","움이","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아기p의","아기","p의","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아기교수","아기","교수","unrelated","word","word",0.084135177787828,NA,NA,NA,NA,NA
"아기어린이","아기","어린이","related","word","word",0.209188651619048,NA,NA,NA,NA,NA
"아난니랑","아난","니랑","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아난사업","아난","사업","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아노식들","아노","식들","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아노야구","아노","야구","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아득연주롭게 이리저리 거닐다","아득","연주롭게 이리저리 거닐다","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아득정치가","아득","정치가","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아래에n이","아래에","n이","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아래에게임","아래에","게임","unrelated","word","word",0.11790084845089,NA,NA,NA,NA,NA
"아래에위","아래에","위","related","word","word",0.360989977561242,NA,NA,NA,NA,NA
"아래쪽의먼지가 자뜩한","아래쪽의","먼지가 자뜩한","unrelated","word","word",NA,NA,NA,NA,NA,NA
"아래쪽의없을히","아래쪽의","없을히","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아래쪽의위쪽의","아래쪽의","위쪽의","related","word","word",NA,NA,NA,NA,NA,NA
"아마도선수","아마도","선수","unrelated","word","word",0.0510890937744223,NA,NA,NA,NA,NA
"아마도아마","아마도","아마","related","word","word",0.5724110625417,NA,NA,NA,NA,NA
"아마도제자지","아마도","제자지","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아마셋째형을의","아마셋째","형을의","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아마셋째화가","아마셋째","화가","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아마의om양","아마의","om양","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아마의원조하다","아마의","원조하다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아마추어뒤쪽","아마추어","뒤쪽","unrelated","word","word",0.120385225106988,NA,NA,NA,NA,NA
"아마추어어색","아마추어","어색","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아마추어전문적인","아마추어","전문적인","related","word","word",0.416411285808559,NA,NA,NA,NA,NA
"아무것도 아님리무진","아무것도 아님","리무진","unrelated","word","word",NA,NA,NA,NA,NA,NA
"아무것도 아님무엇","아무것도 아님","무엇","related","word","word",NA,NA,NA,NA,NA,NA
"아무것도 아님프트","아무것도 아님","프트","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아무것도하지님마이크로폰","아무것도하지님","마이크로폰","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아무것도하지님파에","아무것도하지님","파에","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아빠네씨","아빠","네씨","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아빠생산","아빠","생산","unrelated","word","word",0.107298354749394,NA,NA,NA,NA,NA
"아빠엄마","아빠","엄마","related","word","word",0.454837919250059,NA,NA,NA,NA,NA
"아사데프","아사","데프","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아사혼동","아사","혼동","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아스피린네딜","아스피린","네딜","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아스피린도전","아스피린","도전","unrelated","word","word",0.126963200246869,NA,NA,NA,NA,NA
"아스피린모르핀","아스피린","모르핀","related","word","word",0.332737541299697,NA,NA,NA,NA,NA
"아스휠러반죽경","아스휠러","반죽경","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아스휠러여성","아스휠러","여성","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아이디어강철","아이디어","강철","unrelated","word","word",0.141855300890504,NA,NA,NA,NA,NA
"아이디어능을","아이디어","능을","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아이디어이론","아이디어","이론","related","word","word",0.30175049798157,NA,NA,NA,NA,NA
"아이후크마이티의","아이후크","마이티의","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아이후크잔혹한","아이후크","잔혹한","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아져박스 같은","아져","박스 같은","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아져분","아져","분","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아주 멋진공항","아주 멋진","공항","unrelated","word","word",NA,NA,NA,NA,NA,NA
"아주 멋진다이너마원이","아주 멋진","다이너마원이","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아주 멋진환상적인 것","아주 멋진","환상적인 것","related","word","word",NA,NA,NA,NA,NA,NA
"아주머니중요성","아주머니","중요성","unrelated","word","word",0.125073980608278,NA,NA,NA,NA,NA
"아주머니증은","아주머니","증은","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아주머니청소부","아주머니","청소부","related","word","word",0.272513227725354,NA,NA,NA,NA,NA
"아첨하다감탄시키다","아첨하다","감탄시키다","related","word","word",NA,NA,NA,NA,NA,NA
"아첨하다양","아첨하다","양","unrelated","word","word",NA,NA,NA,NA,NA,NA
"아첨하다얻었턴","아첨하다","얻었턴","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아티의려나","아티의","려나","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아티의민주주의","아티의","민주주의","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아티자감시망에치","아티자","감시망에치","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"아티자양","아티자","양","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아프리카미국","아프리카","미국","related","word","word",0.265956192505706,NA,NA,NA,NA,NA
"아프리카산소","아프리카","산소","unrelated","word","word",0.140125094594653,NA,NA,NA,NA,NA
"아프리카해드","아프리카","해드","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"아프시스백작 부인","아프시스","백작 부인","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"아프시스태고","아프시스","태고","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"악몽꿈","악몽","꿈","related","word","word",0.552342632973066,NA,NA,NA,NA,NA
"악몽낫잖 음료","악몽","낫잖 음료","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"악몽조직","악몽","조직","unrelated","word","word",0.0948590340478019,NA,NA,NA,NA,NA
"안경놀이하다","안경","놀이하다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"안경들리다","안경","들리다","unrelated","word","word",NA,NA,NA,NA,NA,NA
"안경모자","안경","모자","related","word","word",0.530485077140859,NA,NA,NA,NA,NA
"안관원칙도로","안관","원칙도로","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"안관짓다","안관","짓다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"안내적 인삼","안내적 인","삼","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"안내적 인텝을","안내적 인","텝을","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"안녕하세요아올","안녕하세요","아올","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"안녕하세요안녕히 가십시오","안녕하세요","안녕히 가십시오","related","word","word",NA,NA,NA,NA,NA,NA
"안녕하세요자동차","안녕하세요","자동차","unrelated","word","word",0.14301294135306,NA,NA,NA,NA,NA
"안느문장","안느","문장","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"안느믿었한","안느","믿었한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"안달하다대령","안달하다","대령","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"안달하다이버","안달하다","이버","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"안방강아원","안방","강아원","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"안방임대","안방","임대","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"안왔랄드","안왔","랄드","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"안왔생산","안왔","생산","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"안전한뚫을 수 없는","안전한","뚫을 수 없는","related","word","word",NA,NA,NA,NA,NA,NA
"안전한런지","안전한","런지","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"안전한비난","안전한","비난","unrelated","word","word",0.0687490746159383,NA,NA,NA,NA,NA
"안톤o.나마","안톤o.","나마","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"안톤o.소스","안톤o.","소스","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"않습뽐내물","않습","뽐내물","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"않습어두운","않습","어두운","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"알림경보","알림","경보","related","word","word",0.625421322040327,NA,NA,NA,NA,NA
"알림씻다","알림","씻다","unrelated","word","word",NA,NA,NA,NA,NA,NA
"알림차량운","알림","차량운","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"알몸로마의","알몸로","마의","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"알몸로알았다","알몸로","알았다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"알몸적인쉬운","알몸적인","쉬운","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"알몸적인편과","알몸적인","편과","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"알았어검증","알았어","검증","unrelated","word","word",0.185656721660964,NA,NA,NA,NA,NA
"알았어결심","알았어","결심","unrelated","word","word",0.197889197347847,NA,NA,NA,NA,NA
"알았어분할","알았어","분할","unrelated","word","word",0.18080133998691,NA,NA,NA,NA,NA
"알았어소유자","알았어","소유자","unrelated","word","word",0.137553155019352,NA,NA,NA,NA,NA
"알았어응","알았어","응","related","word","word",0.18044154619801,NA,NA,NA,NA,NA
"알았어주간","알았어","주간","unrelated","word","word",0.134962578176696,NA,NA,NA,NA,NA
"알았어클레사","알았어","클레사","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"알았어품질","알았어","품질","unrelated","word","word",0.163250966479689,NA,NA,NA,NA,NA
"알았어현미경","알았어","현미경","unrelated","word","word",0.196308841920698,NA,NA,NA,NA,NA
"알현랐을","알현","랐을","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"알현소망","알현","소망","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"암호나쁜","암호","나쁜","unrelated","word","word",0.0576322082522205,NA,NA,NA,NA,NA
"암호래와","암호","래와","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"암호비밀번호","암호","비밀번호","related","word","word",0.501726809271135,NA,NA,NA,NA,NA
"압에레도","압에","레도","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"압에미사일","압에","미사일","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"앞그럴할거","앞","그럴할거","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"앞뒤쪽","앞","뒤쪽","related","word","word",0.480032293295013,NA,NA,NA,NA,NA
"앞으버스","앞으","버스","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"앞으조아","앞으","조아","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"앞헤로인","앞","헤로인","unrelated","word","word",0.185321988317171,NA,NA,NA,NA,NA
"애라키교를","애라키","교를","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"애라키예상하다","애라키","예상하다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"애시시도","애시","시도","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"애시켄드","애시","켄드","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"액체따운","액체","따운","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"액체체액","액체","체액","related","word","word",0.544019041231149,NA,NA,NA,NA,NA
"액체행복하다","액체","행복하다","unrelated","word","word",0.104901730788487,NA,NA,NA,NA,NA
"앨라답군","앨라","답군","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"앨라두개골","앨라","두개골","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"앨범노래","앨범","노래","related","word","word",0.344988549478936,NA,NA,NA,NA,NA
"앨범닫힌","앨범","닫힌","unrelated","word","word",0.139133342457221,NA,NA,NA,NA,NA
"앨범였든","앨범","였든","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"야마사진 작가","야마","사진 작가","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"야마재결","야마","재결","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"야영지마을","야영지","마을","related","word","word",0.325309459989334,NA,NA,NA,NA,NA
"야영지부모","야영지","부모","unrelated","word","word",0.138714060044501,NA,NA,NA,NA,NA
"야영지악감","야영지","악감","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"야와감염병 정의","야와","감염병 정의","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"야와싼","야와","싼","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"약들강아원","약들","강아원","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"약들투옥","약들","투옥","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"약혼게임자","약혼","게임자","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"약혼혼례","약혼","혼례","related","word","word",NA,NA,NA,NA,NA,NA
"약혼환상적인 것","약혼","환상적인 것","unrelated","word","word",NA,NA,NA,NA,NA,NA
